project_id$museum_name$year$visitors$source$notes,,,,,,,,
0$1$2$3$4$5,,,,,,,,
mm.domus.SE481$NEWHAVEN MUSEUM$2007$2308$MA(fam)$DOMUS and AIM entry is 'Newhaven Historical Society' - Amended to reflect museum name. AIM entry has alternative address - assume this is administrative,,,,,,,,
mm.domus.NI027$NEWRY AND MOURNE MUSEUM$2007$41993$MA(fam)$Location change,,,,,,,,
mm.domus.SE485$NORTH NORFOLK RAILWAY MUSEUM$2007$10000$MA(fam)$MA and website list as William Marriott Museum,,,,,,,,
mm.domus.NW138$ORDSALL HALL MUSEUM$2007$25500$MA(fam)$,,,,,,,,
mm.musa.286$PORTLAND CASTLE$2007$23160$MA(fam)$,,,,,,,,
mm.domus.SE140$PORTSMOUTH MUSEUM$2007$71535$MA(fam)$,,,,,,,,
mm.aim.0795$RENISHAW HALL$2007$27000$MA(fam)$Note: RENISHAW, not Reinshaw as formerly in sheet,,,,,,,
mm.domus.WA099$SIR HENRY JONES MUSEUM$2007$704$MA(fam)$,,,,,,,,
mm.domus.SE345$SLOUGH MUSEUM$2007$6270$MA(fam)$,,,,,,,,
mm.domus.WM017$ST JOHN'S HOUSE$2007$26665$MA(fam)$,,,,,,,,
mm.domus.SE504$ST NEOTS MUSEUM$2007$4040$MA(fam)$,,,,,,,,
mm.domus.YH073$THACKRAY MEDICAL MUSEUM$2007$73283$MA(fam)$,,,,,,,,
mm.domus.NW002$THE BEACON$2007$53000$MA(fam)$,,,,,,,,
mm.domus.SE368$THURROCK MUSEUM$2007$23000$MA(fam)$,,,,,,,,
mm.domus.SE429$UCL GEOLOGY COLLECTIONS$2007$227$MA(fam)$Entry changed from 'COLLECTIONS OF THE DEPARTMENT OF GEOLOGICAL SCIENCE (UCL COLLECTIONS)' (Domus) to reflect current name,,,,,,,,
mm.musa.016$UNIVERSITY OF THE ARTS, LONDON, GALLERIES *(one gallery or 7?)$2007$10000$MA(fam)$,,,,,,
mm.aim.1274$UPMINISTER TITHE BARN MUSEUM OF NOSTALGIA$2007$3000$MA(fam)$Name change. Location change. Address amended to reflect museum location.,,,,,,,,
mm.mgs.364$WICK HERITAGE MUSEUM$2007$4013$MA(fam)$,,,,,,,,
mm.domus.SE118$100TH BOMB GROUP MEMORIAL MUSEUM$2008$7500$MA(fam)$,,,,,,,,
mm.musa.002$19 PRINCELET STREET$2008$5000$MA(fam)$,,,,,,,,
mm.aim.0710$ALNWICK CASTLE$2008$180000$MA(fam)$AIM entry listed as 'Northumberland Estates' - This also includes Syon Park, so museum size could be inaccurate; MA(fam) has Museum of Antiquities, Alnwick Castle,,,,,,
mm.domus.EM014$BAKEWELL OLD HOUSE MUSEUM$2008$8500$MA(fam)$,,,,,,,,
mm.domus.SC027$BANFF MUSEUM$2008$859$MA(fam)$Status change,,,,,,,,
mm.domus.NW172$BEATRIX POTTER GALLERY$2008$50000$MA(fam)$,,,,,,,,
mm.domus.WA013$BERSHAM HERITAGE CENTRE$2008$10637$MA(fam)$Name change,,,,,,,,
mm.domus.SE006$BETHLEM ROYAL HOSPITAL ARCHIVES & MUSEUM$2008$2200$MA(fam)$AIM entry is for 'Bethlem Art and History Collections Trust',,,,,,,,
mm.domus.NW059$BIRKENHEAD PRIORY AND ST MARY'S TOWER$2008$13666$MA(fam)$Domus entry listed as 'BIRKENHEAD PRIORY HERITAGE CENTRE & MUSEUM'. Have used ACE name as most current.,,,,,,,,
mm.domus.YH022$BISHOPS HOUSE$2008$7850$MA(fam)$,,,,,,,,
mm.ace.1139$BOWES RAILWAY MUSEUM$2008$6000$MA(fam)$,,,,,,,,
mm.domus.WM095$BRIDNORTH MUSEUM NORTHGATE$2008$4729$MA(fam)$,,,,,,,,
mm.domus.WA022$CARMARTHENSHIRE COUNTY MUSEUM$2008$14025$MA(fam)$,,,,,,,,
mm.wiki.326$CHEDDAR MAN - MUSEUM OF PREHISTORY$2008$200000$MA(fam)$,,,,,,,,
mm.domus.SW021$CHELTENHAM ART GALLERY AND MUSEUM$2008$63290$MA(fam)$,,,,,,,,
mm.domus.SE175$CLARE ANCIENT HOUSE MUSEUM$2008$800$MA(fam)$,,,,,,,,
mm.aim.0213$COGGESHALL MUSEUM & HERITAGE CENTRE$2008$2567$MA(fam)$,,,,,,,,
mm.domus.WM022$COLEHAM PUMPING STATION$2008$802$MA(fam)$,,,,,,,,
mm.domus.SW032$CRAFTS STUDY CENTRE$2008$9000$MA(fam)$,,,,,,,,
mm.domus.SE242$CUCKFIELD MUSEUM$2008$2300$MA(fam)$,,,,,,,,
mm.fcm.073$CUMBERLAND PENCIL MUSEUM$2008$90000$MA(fam)$,,,,,,,,
mm.domus.SW035$DAWLISH MUSEUM$2008$3100$MA(fam)$AIM entry is 'Dawlish Museum Society' ,,,,,,,,
mm.domus.NI019$DOWNPATRICK & COUNTY DOWN RAILWAY$2008$9046$MA(fam)$Name change. AIM entry has alternate address. Assume administrative. ,,,,,,,,
mm.domus.WA100$EGYPT CENTRE$2008$21479$MA(fam)$,,,,,,,,
mm.domus.SE126$FAKENHAM MUSEUM OF GAS & LOCAL HISTORY$2008$1457$MA(fam)$AIM entry is 'The Fakenham Town Gasworks Museum Trust',,,,,,,,
mm.domus.SE588$FIRST GARDEN CITY HERITAGE MUSEUM$2008$5700$MA(fam)$Listed by MA and website as The International Garden Cities Exhibition,,,,,,,,
mm.domus.YH161$Fishing Heritage Centre$2008$77488$MA(fam)$,,,,,,,,
mm.domus.SW227$GEEVOR TIN MINE$2008$43000$MA(fam)$,,,,,,,,
mm.mald.055$GOWER HERITAGE CENTRE$2008$70000$MA(fam)$,,,,,,,,
mm.domus.SE024$GUARDS MUSEUM$2008$32534$MA(fam)$,,,,,,,,
mm.domus.WM115$HADEN HILL HOUSE$2008$42920$MA(fam)$,,,,,,,,
mm.domus.NE066$HEAD OF STEAM - DARLINGTON RAILWAY CENTRE AND MUSEUM$2008$34000$MA(fam)$,,,,,,,,
mm.domus.SE312$HISTORIC DOCKYARD, CHATHAM$2008$142701$MA(fam)$,,,,,,,
mm.domus.WM145$HOUSE ON CRUTCHES MUSEUM$2008$1283$MA(fam)$,,,,,,,,
mm.mgs.412$IONA ABBEY LTD$2008$60000$MA(fam)$Not listed in most recent MGS accreditation sheet,,,,,,,,
mm.domus.EM040$KEGWORTH MUSEUM$2008$300$MA(fam)$,,,,,,,,
mm.domus.WM071$KINGTON MUSEUM$2008$5119$MA(fam)$,,,,,,,,
mm.domus.NI036$LARNE MUSEUM$2008$4744$MA(fam)$Does not appear on most current NIMC list,,,,,,,,
mm.domus.WA072$LLANDUDNO MUSEUM$2008$3917$MA(fam)$,,,,,,,,
mm.domus.SC153$MACLAURIN ART GALLERY$2008$37299$MA(fam)$,,,,,,,,
mm.aim.0579$MANCHESTER UNITED FC MUSEUM & TOUR CENTRE$2008$301789$MA(fam)$,,,,,,,,
mm.domus.SE335$MARCH AND DISTRICT MUSEUM$2008$3400$MA(fam)$,,,,,,,,
mm.mgs.294$MAUD RAILWAY MUSEUM$2008$342$MA(fam)$,,,,,,,,
mm.domus.EM108$MEASHAM MUSEUM$2008$650$MA(fam)$,,,,,,,,
mm.musa.235$MINSTER ABBEY GATEHOUSE MUSEUM$2008$700$MA(fam)$,,,,,,,,
mm.domus.SW068$MORWELLHAM QUAY MUSEUM$2008$50000$MA(fam)$AIM entry is 'Morwellham & Tamar Valley Trust',,,,,,,,
mm.domus.SW134$MUSEUM IN THE PARK$2008$39171$MA(fam)$,,,,,,,,
mm.domus.SE002$MUSEUM OF EAST ANGLIAN LIFE$2008$33000$MA(fam)$,,,,,,,,
mm.mald.089$MUSEUM OF SPEED$2008$30519$MA(fam)$MALD address entry was administrative. Entry amended to reflect actual address,,,,,,,,
mm.domus.SE365$MUSEUM OF ST ALBANS$2008$17051$MA(fam)$,,,,,,,,
mm.domus.EM010$NATIONAL TRUST MUSEUM OF CHILDHOOD$2008$103342$MA(fam)$,,,,,,,,
mm.domus.NI008$NORTH DOWN MUSEUM$2008$44000$MA(fam)$Name change,,,,,,,,
mm.musa.282$PETWORTH COTTAGE MUSEUM$2008$1557$MA(fam)$,,,,,,,,
mm.domus.SE129$PITZHANGER MANOR & GALLERY$2008$28902$MA(fam)$AIM entry is 'Pitzhanger Manor & Gallery Trust',,,,,,,,
mm.domus.SC137$QUEENSFERRY MUSEUM (EDINBURGH CITY MUSEUMS)$2008$6337$MA(fam)$DOMUS address appears to be administrative (for Edinburgh City Museums). Used address supplied with MGS data here,,,,,,,,
mm.domus.SW177$RADSTOCK MUSEUM$2008$664$MA(fam)$,,,,,,,,
mm.domus.SE511$ROYAL AIR FORCE MUSEUM LONDON (RAF)$2008$270131$MA(fam)$,,,,,,,,
mm.domus.SE157$ROYAL ELECTRICAL & MECHANICAL ENGINEERS MUSEUM OF TECHNOLOGY$2008$12282$MA(fam)$Address change. AIM entry is REME museum,,,,,,,,
mm.aim.1182$ROYAL HOSPITAL CHELSEA$2008$18000$MA(fam)$,,,,,,,,
mm.domus.SC152$ROZELLE HOUSE$2008$37299$MA(fam)$,,,,,,,,
mm.domus.WA024$SCOLTON MANOR MUSEUM$2008$22000$MA(fam)$,,,,,,,,
mm.musa.312$SITTINGBOURNE & KEMSLEY LIGHT RAILWAY$2008$14000$MA(fam)$,,,,,,,,
mm.musa.314$SOMERSET BRICK AND TILE MUSEUM$2008$664$MA(fam)$,,,,,,,,
mm.domus.SW190$SOMERSET CRICKET MUSEUM$2008$2781$MA(fam)$AIM entry is 'Somerset Cricket Museum Ltd',,,,,,,,
mm.domus.SW123$SOMERSET RURAL LIFE MUSEUM$2008$32278$MA(fam)$name change. AIM entry is 'Friends of the Somerset Rural Life Museum',,,,,,,,
mm.domus.SE461$ST BARBE MUSEUM$2008$25984$MA(fam)$,,,,,,,,
mm.domus.SC268$ST RONAN'S WELLS INTERPRETATION CENTRE$2008$4250$MA(fam)$DOMUS address erroneous. Correct MGS address used instead.,,,,,,,,
mm.domus.NW068$STRETTON WATERMILL$2008$3599$MA(fam)$,,,,,,,,
mm.aim.1017$THE CATER MUSEUM$2008$2137$MA(fam)$,,,,,,,,
mm.domus.NW021$TULLIE HOUSE MUSEUM AND ART GALLERY$2008$283184$MA(fam)$AIM entry is 'Tullie House Museum and Art Gallery Trust',,,,,,,,
mm.domus.NW044$TURTON TOWER$2008$25471$MA(fam)$,,,,,,,,
mm.domus.SC266$TWEEDDALE MUSEUM$2008$9456$MA(fam)$,,,,,,,,
mm.domus.SE398$VENTNOR HERITAGE MUSEUM$2008$1350$MA(fam)$,,,,,,,,
mm.domus.SE364$VERULAMIUM MUSEUM$2008$72585$MA(fam)$,,,,,,,,
mm.domus.NW098$WARRINGTON MUSEUM AND ART GALLERY$2008$75769$MA(fam)$,,,,,,,,
mm.domus.SW002$WEST SOMERSET RURAL LIFE MUSEUM$2008$3500$MA(fam)$,,,,,,,,
mm.domus.NW058$WILLIAMSON ART GALLERY AND MUSEUM$2008$33897$MA(fam)$,,,,,,,,
mm.domus.EM102$WIRKSWORTH HERITAGE CENTRE$2008$1327$MA(fam)$,,,,,,,,
mm.domus.EM110$WOODHALL SPA COTTAGE MUSEUM$2008$3000$MA(fam)$,,,,,,,,
mm.domus.NE064$WOODHORN MUSEUM$2008$109265$MA(fam)$Museum Local Authority but has AIM entry. Check,,,,,,,,
mm.domus.SE138$WYMONDHAM HERITAGE MUSEUM$2008$2220$MA(fam)$,,,,,,,,
mm.domus.SC016$ALYTH MUSEUM$2009$883$MA(fam) date last updated$,,,,,,,,
mm.domus.EM004$ASHBY-DE-LA-ZOUCH MUSEUM$2009$5729$MA(fam)$,,,,,,,,
mm.domus.WM015$BANTOCK HOUSE MUSEUM$2009$82346$MA(fam)$,,,,,,,,
mm.domus.EM015$BASSETLAW MUSEUM$2009$21882$MA(fam)$,,,,,,,,
mm.musa.036$BAYLE MUSEUM$2009$3000$MA(fam)$,,,,,,,,
mm.domus.WM113$BISHOP ASBURY COTTAGE$2009$75$MA(fam)$,,,,,,,,
mm.domus.WM126$BLISTS HILL VICTORIAN TOWN$2009$222666$MA(fam)$Part of Ironbridge,,,,,,,,
mm.aim.0105$BOGNOR REGIS LOCAL HISTORY SOCIETY & MUSEUM$2009$12000$MA(fam)$,,,,,,,,
mm.ace.1282$BOURNEMOUTH NATURAL SCIENCE SOCIETY$2009$1000$MA(fam)$,,,,,,,,
mm.domus.NW019$BRAMALL HALL$2009$24703$MA(fam)$,,,,,,,,
mm.domus.WM130$BROSELEY PIPE WORKS$2009$5838$MA(fam)$relationship to Ironbridge,,,,,,,,
mm.hha.120$BURTON AGNES HALL & GARDENS$2009$56000$MA(fam)$,,,,,,,,
mm.domus.YH046$BURTON CONSTABLE HALL$2009$8001$MA(fam)$AIM entry for 'Burton Constable Foundation',,,,,,,,
mm.domus.SE227$BUSHEY MUSEUM AND ART GALLERY$2009$7082$MA(fam)$,,,,,,,,
mm.nimc.043$CARRICKFERGUS MUSEUM$2009$26328$MA(fam)$,,,,,,,,
mm.domus.WA005$CEREDIGION MUSEUM$2009$34688$MA(fam)$,,,,,,,,
mm.domus.NE077$CHERRYBURN THOMAS BERWICK'S BIRTHPLACE$2009$15000$MA(fam)$,,,,,,,,
mm.musa.083$CHICHESTER CATHEDRAL TREASURY$2009$3000$MA(fam)$,,,,,,,,
mm.domus.SC076$CITY ART CENTRE$2009$76359$MA(fam)$,,,,,,,,
mm.musa.090$CLUN TOWN TRUST MUSEUM$2009$1061$MA(fam)$,,,,,,,,
mm.domus.WM124$COALPORT CHINA MUSEUM$2009$46593$MA(fam)$relationship to Ironbridge Gorge Museum,,,,,,,,
mm.domus.YH050$COLNE VALLEY MUSEUM$2009$6000$MA(fam)$,,,,,,,,
mm.domus.SW026$COMBE MARTIN MUSEUM$2009$4500$MA(fam)$Address change,,,,,,,,
mm.domus.SC090$CRAIL MUSEUM$2009$11000$MA(fam)$,,,,,,,,
mm.domus.SC092$CROMARTY COURTHOUSE MUSEUM$2009$8079$MA(fam)$,,,,,,,,
mm.domus.WM129$DARBY HOUSES$2009$19284$MA(fam)$relationship to Ironbridge Gorge,,,,,,,,
mm.domus.EM034$DERBY MUSEUM AND ART GALLERY$2009$95442$MA(fam)$Status change,,,,,,,,
mm.mgs.311$DOON VALLEY MUSEUM$2009$1350$MA(fam)$,,,,,,,,
mm.domus.NW031$ELLENROAD ENGINE HOUSE$2009$2500$MA(fam)$,,,,,,,,
mm.domus.SC117$FERGUSSON GALLERY$2009$11827$MA(fam)$,,,,,,,,
mm.domus.NW115$FUSILIERS MUSEUM, LANCASHIRE$2009$12000$MA(fam)$,,,,,,,
mm.domus.YH065$GEORGIAN THEATRE ROYAL MUSEUM$2009$3569$MA(fam)$,,,,,,,,
mm.domus.SW079$GLOUCESTER WATERWAYS MUSEUM$2009$16000$MA(fam)$,,,,,,,,
mm.ace.399$GREENWICH HERITAGE CENTRE$2009$46109$MA(fam)$AIM entry is 'Greenwich Heritage',,,,,,,,
