project_id	size	size_source	size_simpl	size_simpl_source
mm.domus.SC134	large	domus	large	domus
mm.domus.SC135	large	domus	large	domus
mm.domus.SC137	small	domus	small	domus
mm.domus.SC138	large	domus	large	domus
mm.domus.SC139	very_large	domus	large	domus
mm.domus.SC140	medium	domus	medium	domus
mm.domus.SC141	medium	domus	medium	domus
mm.domus.SC142	very_large	domus	large	domus
mm.domus.SC143	tiny	domus	small	domus
mm.domus.SC144	small	domus	small	domus
mm.domus.SC145	small	domus	small	domus
mm.domus.SC146	very_small	domus	small	domus
mm.domus.SC147	small	domus	small	domus
mm.domus.SC148	medium	domus	medium	domus
mm.domus.SC149	large	domus	large	domus
mm.domus.SC150	tiny	domus	small	domus
mm.domus.SC151	very_small	domus	small	domus
mm.domus.SC152	medium	domus	medium	domus
mm.domus.SC153	small	domus	small	domus
mm.domus.SC154	small	domus	small	domus
mm.domus.SC155	very_small	domus	small	domus
mm.domus.SC156	small	domus	small	domus
mm.domus.SC157	small	domus	small	domus
mm.domus.SC158	very_small	domus	small	domus
mm.domus.SC159	very_small	domus	small	domus
mm.domus.SC160	large	domus	large	domus
mm.domus.SC161	small	domus	small	domus
mm.domus.SC162	medium	domus	medium	domus
mm.domus.SC163	very_small	domus	small	domus
mm.domus.SC164	tiny	domus	small	domus
mm.domus.SC166	unknown	unknown	unknown_sz	unknown
mm.domus.SC167	tiny	domus	small	domus
mm.domus.SC168	medium	domus	medium	domus
mm.domus.SC169	medium	domus	medium	domus
mm.domus.SC170	very_small	domus	small	domus
mm.domus.SC171	very_small	domus	small	domus
mm.domus.SC172	very_small	domus	small	domus
mm.domus.SC173	medium	domus	medium	domus
mm.domus.SC174	very_small	domus	small	domus
mm.domus.SC175	very_small	domus	small	domus
mm.domus.SC176	small	domus	small	domus
mm.domus.SC177	very_large	domus	large	domus
mm.domus.SC178	large	domus	large	domus
mm.domus.SC180	small	domus	small	domus
mm.domus.SC181	large	domus	large	domus
mm.domus.SC182	small	domus	small	domus
mm.domus.SC183	very_large	domus	large	domus
mm.domus.SC184	medium	domus	medium	domus
mm.domus.SC185	tiny	domus	small	domus
mm.domus.SC186	medium	domus	medium	domus
mm.domus.SC187	medium	domus	medium	domus
mm.domus.SC188	small	domus	small	domus
mm.domus.SC189	small	domus	small	domus
mm.domus.SC190	tiny	domus	small	domus
mm.domus.SC191	tiny	domus	small	domus
mm.domus.SC192	medium	domus	medium	domus
mm.domus.SC193	small	domus	small	domus
mm.domus.SC194	very_small	domus	small	domus
mm.domus.SC195	small	domus	small	domus
mm.domus.SC196	large	domus	large	domus
mm.domus.SC197	small	domus	small	domus
mm.domus.SC198	very_small	domus	small	domus
mm.domus.SC199	small	domus	small	domus
mm.domus.SC200	small	domus	small	domus
mm.domus.SC201	tiny	domus	small	domus
mm.domus.SC202	small	domus	small	domus
mm.domus.SC203	small	domus	small	domus
mm.domus.SC205	small	domus	small	domus
mm.domus.SC208	very_small	domus	small	domus
mm.domus.SC215	small	domus	small	domus
mm.domus.SC217	very_small	domus	small	domus
mm.domus.SC218	tiny	domus	small	domus
mm.domus.SC220	tiny	domus	small	domus
mm.domus.SC221	very_small	domus	small	domus
