project_id	OA2011_GSS
mm.aim.0738	W00003232
mm.aim.0742	W00000919
mm.aim.0750	E00133404
mm.aim.0753	E00095553
mm.aim.0754	E00004198
mm.aim.0774	E00067474
mm.aim.0778	E00063359
mm.aim.0779	E00097466
mm.aim.0781	E00084638
mm.aim.0784	E00071011
mm.aim.0786	E00034928
mm.aim.0788	E00125105
mm.aim.0790	E00111339
mm.aim.0791	E00095503
mm.aim.0795	E00100157
mm.aim.0796	E00007921
mm.aim.0797	W00002599
mm.aim.0803	E00088286
mm.aim.0811	E00137218
mm.aim.0812	E00137981
mm.aim.0817	E00023919
mm.aim.0818	E00004681
mm.aim.0858	S00109128
mm.aim.0877	E00155524
mm.aim.0881	E00148057
mm.aim.0882	E00124129
mm.aim.0892	E00050896
mm.aim.0898	E00146805
mm.aim.0900	E00097245
mm.aim.0907	E00102316
mm.aim.0925	E00132699
mm.aim.0926	E00161942
mm.aim.0931	E00120224
mm.aim.0936	E00103416
mm.aim.0941	E00122676
mm.aim.0943	E00088099
mm.aim.0951	E00087440
mm.aim.0952	E00156861
mm.aim.0956	E00136150
mm.aim.0959	E00170707
mm.aim.0976	E00017203
mm.aim.0981	E00094185
mm.aim.0983	E00099267
mm.aim.0993	E00158376
mm.aim.0994	E00130404
mm.aim.1001	E00135701
mm.aim.1004	E00132232
mm.aim.1005	E00161877
mm.aim.1006	E00169006
mm.aim.1017	E00107885
mm.aim.1020	E00013430
mm.aim.1022	E00156630
mm.aim.1023	E00171549
mm.aim.1025	E00160734
mm.aim.1026	E00048664
mm.aim.1031	E00096420
mm.aim.1036	E00022693
mm.aim.1040	E00072124
mm.aim.1042	E00153401
mm.aim.1047	E00103056
mm.aim.1051	E00129702
mm.aim.1063	E00019779
mm.aim.1068	
mm.aim.1071	S00133384
mm.aim.1076	E00137805
mm.aim.1080	E00157942
mm.aim.1082	E00175378
mm.aim.1085	E00116014
mm.aim.1089	E00147676
mm.aim.1090	E00034200
mm.aim.1091	E00009662
mm.aim.1093	E00176629
mm.aim.1095	E00124108
mm.aim.1097	E00103762
mm.aim.1101	E00019292
mm.aim.1111	E00153203
mm.aim.1115	E00104064
mm.aim.1117	E00135950
mm.aim.1119	E00084083
mm.aim.1121	S00109097
mm.aim.1131	E00155436
mm.aim.1136	E00149906
mm.aim.1138	E00144252
mm.aim.1142	W00001921
mm.aim.1147	E00110425
mm.aim.1151	S00091429
mm.aim.1153	E00148101
mm.aim.1155	E00175812
mm.aim.1156	E00118654
mm.aim.1157	E00046223
mm.aim.1159	E00111741
mm.aim.1161	E00004531
mm.aim.1166	E00096463
mm.aim.1169	E00020435
mm.aim.1180	E00110832
mm.aim.1182	E00014596
mm.aim.1186	W00006291
mm.aim.1189	S00126292
mm.aim.1190	S00127607
mm.aim.1194	E00113165
mm.aim.1196	E00110002
mm.aim.1197	E00159835
mm.aim.1202	E00161297
mm.aim.1203	E00145303
mm.aim.1205	E00173897
mm.aim.1206	E00103830
mm.aim.1209	E00136223
mm.aim.1210	E00137593
mm.aim.1215	E00019599
mm.aim.1217	E00035596
mm.aim.1223	E00010971
mm.aim.1230	E00163496
mm.aim.1245	E00121107
mm.aim.1246	E00102235
mm.aim.1247	E00128968
mm.aim.1255	E00118992
mm.aim.1258	S00097218
mm.aim.1261	E00019590
mm.aim.1263	E00118025
mm.aim.1267	E00174223
mm.aim.1274	E00011265
mm.aim.1281	W00005606
mm.aim.1282	E00157391
mm.aim.1289	E00022349
mm.aim.1295	E00062813
mm.aim.1300	E00104271
mm.aim.1304	E00036932
mm.aim.1305	E00149055
mm.aim.1308	E00104412
mm.aim.1309	E00098646
mm.aim.1312	E00114714
mm.aim.1315	E00128706
mm.aim.1316	E00062518
mm.aim.1318	E00070465
mm.aim.1322	E00163414
mm.aim.1326	E00167974
mm.aim.1329	E00175713
mm.aim.1335	E00127972
mm.aim.1338	E00148010
mm.aim.1342	E00096658
mm.aim.1346	E00086109
mm.aim.1348	E00136672
mm.aim.1352	E00124981
mm.aim.1353	E00124870
mm.aim.1354	E00094721
mm.aim.1355	E00094873
mm.aim82M.001	E00095918
mm.aim82M.002	E00056619
mm.aim82M.003	E00104004
mm.aim82M.004	E00087361
mm.aim82M.005	E00117698
mm.aim82M.007	E00092441
mm.aim82M.008	E00000024
mm.aim82M.009	W00001120
mm.aim82M.010	E00071912
mm.aim82M.011	E00099964
mm.aim82M.012	S00133396
mm.aim82M.014	W00002115
mm.aim82M.015	S00120559
mm.aim82M.016	E00148353
mm.aim82M.017	E00099350
mm.aim82M.018	W00004168
mm.aim82M.019	W00001642
mm.aim82M.021	E00139870
mm.aim82M.022	E00010906
mm.aim82M.023	E00134314
mm.aim82M.024	S00097275
mm.aim82M.025	E00146830
mm.aim82M.027	E00106836
mm.aim82M.029	
mm.aim82M.030	S00126772
mm.aim82M.031	E00119213
mm.aim82M.032	S00132521
mm.aim82M.033	E00137297
mm.aim82M.034	E00142853
mm.aim82M.035	E00147781
mm.aim82M.036	E00085492
mm.aim82M.038	E00049371
mm.aim82M.040	E00112947
mm.aim82M.041	E00162410
mm.aim82M.042	E00133848
mm.aim82M.043	E00159222
mm.aim82M.044	E00062216
mm.aim82M.045	E00094691
mm.aim82M.046	E00165886
mm.aim82M.047	E00102222
mm.aim82M.048	E00161446
mm.aim82M.049	E00135801
mm.aim82M.050	E00175190
mm.aim82M.051	E00087359
mm.aim82M.052	E00141282
mm.aim82M.053	E00135359
mm.aim82M.054	E00089077
mm.aim82M.055	E00095400
mm.aim82M.056	E00023696
mm.aim82M.057	E00097173
mm.aim82M.058	E00046264
mm.aim82M.059	S00132896
mm.aim82M.060	E00108789
mm.aim82M.061	S00110356
mm.aim82M.062	E00117880
mm.aim82M.063	E00074467
mm.aim82M.064	W00002651
mm.aim82M.065	E00119200
mm.aim82M.066	E00087316
mm.aim82M.068	E00074504
mm.aim82M.069	E00094959
mm.aim82M.071	W00000097
mm.aim82NM.001	W00000292
