project_id	mm_size
mm.aim.0512	unknown
mm.aim.0513	small
mm.aim.0516	unknown
mm.aim.0518	unknown
mm.aim.0521	small
mm.aim.0527	large
mm.aim.0528	unknown
mm.aim.0530	unknown
mm.aim.0531	small
mm.aim.0533	unknown
mm.aim.0535	very_large
mm.aim.0545	unknown
mm.aim.0555	unknown
mm.aim.0556	unknown
mm.aim.0557	unknown
mm.aim.0559	unknown
mm.aim.0560	unknown
mm.aim.0565	unknown
mm.aim.0566	unknown
mm.aim.0568	unknown
mm.aim.0570	small
mm.aim.0578	unknown
mm.aim.0579	very_large
mm.aim.0581	unknown
mm.aim.0583	large
mm.aim.0588	very_small
mm.aim.0589	unknown
mm.aim.0593	unknown
mm.aim.0596	large
mm.aim.0598	unknown
mm.aim.0599	unknown
mm.aim.0600	tiny
mm.aim.0603	unknown
mm.aim.0604	unknown
mm.aim.0606	unknown
mm.aim.0616	unknown
mm.aim.0619	unknown
mm.aim.0625	unknown
mm.aim.0628	unknown
mm.aim.0639	medium
mm.aim.0641	very_small
mm.aim.0651	unknown
mm.aim.0658	unknown
mm.aim.0663	unknown
mm.aim.0664	unknown
mm.aim.0671	medium
mm.aim.0677	unknown
mm.aim.0678	unknown
mm.aim.0679	small
mm.aim.0691	unknown
mm.aim.0692	unknown
mm.aim.0699	medium
mm.aim.0710	very_large
mm.aim.0713	unknown
mm.aim.0714	unknown
mm.aim.0720	unknown
mm.aim.0723	unknown
mm.aim.0724	unknown
mm.aim.0738	unknown
mm.aim.0742	unknown
mm.aim.0750	very_small
mm.aim.0753	unknown
mm.aim.0754	unknown
mm.aim.0774	unknown
mm.aim.0778	unknown
mm.aim.0779	unknown
mm.aim.0781	unknown
mm.aim.0784	unknown
mm.aim.0786	unknown
mm.aim.0788	unknown
mm.aim.0790	unknown
mm.aim.0791	unknown
mm.aim.0795	medium
mm.aim.0796	unknown
mm.aim.0797	unknown
mm.aim.0803	unknown
mm.aim.0811	unknown
mm.aim.0812	unknown
mm.aim.0817	unknown
mm.aim.0818	small
mm.aim.0858	unknown
mm.aim.0877	unknown
mm.aim.0881	small
mm.aim.0882	very_small
mm.aim.0892	unknown
mm.aim.0898	small
mm.aim.0900	unknown
mm.aim.0907	large
mm.aim.0925	unknown
mm.aim.0926	unknown
mm.aim.0931	very_small
mm.aim.0936	unknown
mm.aim.0941	unknown
mm.aim.0943	unknown
mm.aim.0951	unknown
mm.aim.0952	unknown
mm.aim.0956	unknown
mm.aim.0959	unknown
mm.aim.0976	large
mm.aim.0981	unknown
mm.aim.0983	unknown
mm.aim.0993	unknown
mm.aim.0994	unknown
mm.aim.1001	unknown
mm.aim.1004	unknown
mm.aim.1005	unknown
mm.aim.1006	tiny
mm.aim.1017	very_small
mm.aim.1020	unknown
mm.aim.1022	unknown
mm.aim.1023	unknown
mm.aim.1025	tiny
mm.aim.1026	unknown
mm.aim.1031	unknown
mm.aim.1036	unknown
mm.aim.1040	unknown
mm.aim.1042	unknown
mm.aim.1047	unknown
mm.aim.1051	unknown
mm.aim.1063	medium
mm.aim.1068	unknown
mm.aim.1071	unknown
mm.aim.1076	unknown
mm.aim.1080	unknown
mm.aim.1082	unknown
mm.aim.1085	unknown
mm.aim.1089	unknown
mm.aim.1090	unknown
mm.aim.1091	unknown
mm.aim.1093	unknown
mm.aim.1095	unknown
mm.aim.1097	unknown
mm.aim.1101	unknown
mm.aim.1111	very_small
mm.aim.1115	small
mm.aim.1117	medium
mm.aim.1119	very_small
mm.aim.1121	unknown
mm.aim.1131	unknown
mm.aim.1136	unknown
mm.aim.1138	medium
mm.aim.1142	unknown
mm.aim.1147	unknown
mm.aim.1151	unknown
mm.aim.1153	unknown
mm.aim.1155	unknown
mm.aim.1156	unknown
mm.aim.1157	unknown
mm.aim.1159	unknown
mm.aim.1161	unknown
mm.aim.1166	unknown
mm.aim.1169	unknown
mm.aim.1180	unknown
mm.aim.1182	small
mm.aim.1186	unknown
mm.aim.1189	unknown
mm.aim.1190	unknown
mm.aim.1194	unknown
mm.aim.1196	unknown
mm.aim.1197	very_small
mm.aim.1202	unknown
mm.aim.1203	unknown
mm.aim.1205	unknown
mm.aim.1206	small
mm.aim.1209	unknown
mm.aim.1210	unknown
mm.aim.1215	very_small
mm.aim.1217	unknown
mm.aim.1223	unknown
mm.aim.1230	unknown
mm.aim.1245	unknown
mm.aim.1246	unknown
mm.aim.1247	unknown
mm.aim.1255	unknown
mm.aim.1258	very_small
mm.aim.1261	unknown
mm.aim.1263	unknown
mm.aim.1267	unknown
mm.aim.1274	very_small
mm.aim.1281	unknown
mm.aim.1282	unknown
mm.aim.1289	unknown
mm.aim.1295	unknown
mm.aim.1300	tiny
mm.aim.1304	unknown
mm.aim.1305	very_large
mm.aim.1308	unknown
mm.aim.1309	unknown
mm.aim.1312	small
mm.aim.1315	tiny
mm.aim.1316	unknown
mm.aim.1318	tiny
mm.aim.1322	unknown
mm.aim.1326	unknown
mm.aim.1329	unknown
mm.aim.1335	unknown
mm.aim.1338	unknown
mm.aim.1342	unknown
mm.aim.1346	unknown
mm.aim.1348	unknown
mm.aim.1352	very_small
mm.aim.1353	tiny
mm.aim.1354	unknown
mm.aim.1355	unknown
mm.aim82M.001	unknown
mm.aim82M.002	unknown
mm.aim82M.003	unknown
mm.aim82M.004	unknown
mm.aim82M.005	unknown
mm.aim82M.007	unknown
mm.aim82M.008	unknown
mm.aim82M.009	unknown
mm.aim82M.010	unknown
mm.aim82M.011	unknown
mm.aim82M.012	unknown
mm.aim82M.014	unknown
mm.aim82M.015	unknown
mm.aim82M.016	unknown
mm.aim82M.017	unknown
mm.aim82M.018	unknown
mm.aim82M.019	unknown
mm.aim82M.020	unknown
mm.aim82M.021	unknown
mm.aim82M.022	unknown
mm.aim82M.023	unknown
mm.aim82M.024	unknown
mm.aim82M.025	unknown
mm.aim82M.027	unknown
mm.aim82M.028	unknown
mm.aim82M.029	unknown
mm.aim82M.030	unknown
mm.aim82M.031	unknown
mm.aim82M.032	unknown
mm.aim82M.033	unknown
mm.aim82M.034	unknown
mm.aim82M.035	unknown
mm.aim82M.036	unknown
mm.aim82M.038	unknown
mm.aim82M.040	unknown
mm.aim82M.041	unknown
mm.aim82M.042	unknown
mm.aim82M.043	unknown
mm.aim82M.044	unknown
mm.aim82M.045	unknown
mm.aim82M.046	unknown
mm.aim82M.047	unknown
mm.aim82M.048	unknown
mm.aim82M.049	unknown
mm.aim82M.050	unknown
mm.aim82M.051	unknown
mm.aim82M.052	unknown
mm.aim82M.053	unknown
mm.aim82M.054	unknown
mm.aim82M.055	unknown
mm.aim82M.056	unknown
mm.aim82M.057	unknown
mm.aim82M.058	unknown
mm.aim82M.059	unknown
mm.aim82M.060	unknown
mm.aim82M.061	unknown
mm.aim82M.062	unknown
mm.aim82M.063	unknown
mm.aim82M.064	unknown
mm.aim82M.065	unknown
mm.aim82M.066	unknown
mm.aim82M.068	unknown
mm.aim82M.069	unknown
mm.aim82M.071	unknown
mm.aim82NM.001	unknown
mm.aim82NM.002	unknown
mm.aim82NM.003	unknown
mm.aim82NM.004	unknown
mm.aim82NM.005	unknown
mm.aim82NM.006	unknown
mm.aim82NM.007	unknown
mm.aim82NM.009	unknown
mm.aim82NM.010	unknown
mm.aim82NM.011	unknown
mm.aim82NM.012	unknown
mm.aim82NM.013	unknown
mm.aim82NM.014	unknown
mm.aim82NM.015	unknown
mm.aim82NM.016	unknown
mm.aim82NM.017	unknown
mm.aim82NM.018	unknown
mm.aim82NM.019	unknown
mm.aim82NM.020	unknown
mm.aim82NM.021	unknown
mm.aim82NM.022	unknown
mm.aim82NM.023	unknown
mm.aim82NM.024	unknown
mm.aim82NM.025	unknown
mm.aim82NM.026	unknown
mm.aim82NM.027	unknown
mm.aim82NM.028	unknown
mm.aim82NM.029	unknown
mm.aim82NM.030	unknown
mm.aim82NM.031	unknown
mm.aim82NM.032	unknown
