project_id	size	size_wpred	size_source
mm.aim82M.005	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE087	small	small	aim_size_designation
mm.domus.SE327	small	small	domus
mm.domus.SE548	large	large	visitbritain
mm.domus.SE095	large	large	visitbritain
mm.domus.SE254	medium	medium	domus
mm.domus.SE434	small	small	domus
mm.domus.SE164	medium	medium	domus
mm.domus.SE562	medium	medium	domus
mm.domus.SE165	small	small	domus
mm.hha.008	unknown_sz	large	mm_prediction_random_forest
mm.domus.SE109	small	small	aim_size_designation
mm.ace.1123	medium	medium	ma(fam)
mm.domus.SE295	medium	medium	domus
mm.aim.1263	small	small	aim_size_designation
mm.musa.386	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE166	small	small	domus
mm.domus.SE255	medium	medium	domus
mm.aim.1326	small	small	aim_size_designation
mm.domus.SE362	small	small	domus
mm.musa.229	large	large	visitbritain
mm.domus.SE340	small	small	domus
mm.aim.1255	small	small	aim_size_designation
mm.hha.074	unknown_sz	small	mm_prediction_random_forest
mm.aim.1156	small	small	aim_size_designation
mm.ace.1127	large	large	visitbritain
mm.domus.SE227	small	small	domus
mm.misc.117	unknown_sz	small	mm_prediction_random_forest
mm.aim.0310	medium	medium	ma(fam)
mm.ace.1204	small	small	visitbritain
mm.ace.1137	small	small	visitbritain
mm.wiki.206	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE311	medium	medium	domus
mm.ace.1098	medium	medium	ma(fam)
mm.domus.SE588	small	small	ma(fam)
mm.domus.SE349	small	small	visitbritain
mm.domus.SE324	medium	medium	domus
mm.domus.SE173	small	small	domus
mm.aim.1245	small	small	aim_size_designation
mm.misc.116	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE400	medium	medium	domus
mm.domus.SE413	small	small	visitbritain
mm.domus.SE372	small	small	domus
mm.wiki.236	unknown_sz	small	mm_prediction_random_forest
mm.aim.0219	medium	medium	ma(fam)
mm.misc.022	small	small	visitbritain
mm.domus.SE537	medium	medium	visitbritain
mm.domus.SE567	small	small	domus
mm.domus.SE248	small	small	domus
mm.hha.013	unknown_sz	medium	mm_prediction_random_forest
mm.domus.SE121	large	large	visitbritain
mm.ace.1158	small	small	ma(fam)
mm.domus.SC127	large	large	domus
mm.domus.SE603	small	small	ma(fam)
mm.domus.SE292	small	small	domus
mm.domus.SE216	large	large	domus
mm.musa.320	unknown_sz	medium	mm_prediction_random_forest
mm.domus.SE214	large	large	visitbritain
mm.domus.SE215	medium	medium	visitbritain
mm.musa.310	medium	medium	ma(fam)
mm.domus.SE251	medium	medium	visitbritain
mm.domus.SE250	small	small	domus
mm.aim.0941	small	small	aim_size_designation
mm.domus.SE260	small	small	domus
mm.domus.SE019	small	small	domus
mm.aim82NM.105	unknown_sz	small	mm_prediction_random_forest
mm.musa.095	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE441	large	large	domus
mm.domus.SE500	large	large	visitbritain
mm.domus.SE403	small	small	domus
mm.domus.SE257	large	large	domus
mm.domus.SE147	medium	medium	domus
mm.musa.109	medium	medium	visitbritain
mm.domus.SE459	small	small	domus
mm.domus.SE336	small	small	visitbritain
mm.domus.SE367	small	small	domus
mm.domus.SE188	small	small	domus
mm.domus.SE501	large	large	visitbritain
mm.wiki.230	unknown_sz	small	mm_prediction_random_forest
mm.wiki.225	unknown_sz	small	mm_prediction_random_forest
mm.musa.223	unknown_sz	small	mm_prediction_random_forest
mm.wiki.220	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE045	small	small	domus
mm.domus.SE534	small	small	visitbritain
mm.domus.SE334	small	small	domus
mm.fcm.232	unknown_sz	small	mm_prediction_random_forest
mm.aim.0531	medium	medium	visitbritain
mm.domus.SE470	large	large	domus
mm.musa.055	small	small	ma(fam)
mm.domus.SE483	small	small	domus
mm.domus.SE451	medium	medium	domus
mm.domus.SE333	large	large	domus
mm.aim.0535	large	large	visitbritain
mm.musa.343	large	large	ma(fam)
mm.domus.SE489	small	small	domus
mm.musa.209	medium	medium	ma(fam)
mm.aim.1095	small	small	aim_size_designation
mm.domus.SE420	small	small	domus
mm.domus.SE533	large	large	visitbritain
mm.domus.SE531	large	large	visitbritain
mm.wiki.226	unknown_sz	medium	mm_prediction_random_forest
mm.domus.SE535	medium	medium	visitbritain
mm.aim.0724	small	small	aim_size_designation
mm.domus.SE079	medium	medium	domus
mm.domus.SE320	large	large	domus
mm.aim.0882	small	small	ma(fam)
mm.domus.SE587	small	small	ma(fam)
mm.hha.014	unknown_sz	small	mm_prediction_random_forest
mm.wiki.223	unknown_sz	small	mm_prediction_random_forest
mm.musa.290	large	large	ma(fam)
mm.domus.SE035	small	small	domus
mm.domus.SE077	medium	medium	domus
mm.musa.210	small	small	visitbritain
mm.musa.189	unknown_sz	small	mm_prediction_random_forest
mm.musa.058	small	small	ma(fam)
mm.musa.257	small	small	ma(fam)
mm.aim.0295	small	small	aim_size_designation
mm.aim.1353	small	small	ma(fam)
mm.musa.312	medium	medium	visitbritain
mm.musa.313	small	small	ma(fam)
mm.domus.SE467	small	small	domus
mm.wiki.221	small	small	ma(fam)
mm.aim.1352	small	small	ma(fam)
mm.wiki.232	unknown_sz	small	mm_prediction_random_forest
mm.wiki.219	small	small	visitbritain
mm.wiki.229	unknown_sz	small	mm_prediction_random_forest
mm.musa.235	small	small	visitbritain
mm.domus.SE289	small	small	domus
mm.hha.011	medium	medium	ma(fam)
mm.misc.030	unknown_sz	small	mm_prediction_random_forest
