museum_id	country_gss	country_name	region_gss	region_name
mm.domus.SE509	E92000001	England	E12000007	London
mm.domus.SE508	E92000001	England	E12000007	London
mm.New.162	W92000004	Wales	W92000004	Wales
mm.aim82NM.108	E92000001	England	E12000009	South West
mm.hud.014	E92000001	England	E12000008	South East
mm.domus.NI025	N92000002	Northern Ireland	N92000002	Northern Ireland
mm.hud.019	E92000001	England	E12000002	North West
mm.domus.NI024	N92000002	Northern Ireland	N92000002	Northern Ireland
mm.musa.191	E92000001	England	E12000002	North West
mm.New.8	E92000001	England	E12000007	London
mm.musa.195	E92000001	England	E12000006	East of England
mm.musa.197	E92000001	England	E12000009	South West
mm.musa.196	S92000003	Scotland	S92000003	Scotland
mm.musa.199	E92000001	England	E12000008	South East
mm.domus.WA099	W92000004	Wales	W92000004	Wales
mm.misc.244	E92000001	England	E12000005	West Midlands
mm.musa.353	E92000001	England	E12000009	South West
mm.musa.352	E92000001	England	E12000006	East of England
mm.musa.351	E92000001	England	E12000006	East of England
mm.musa.350	E92000001	England	E12000006	East of England
mm.musa.356	E92000001	England	E12000008	South East
mm.musa.354	E92000001	England	E12000009	South West
mm.New.200	E92000001	England	E12000009	South West
mm.New.201	E92000001	England	E12000008	South East
mm.New.202	E92000001	England	E12000008	South East
mm.New.203	E92000001	England	E12000008	South East
mm.New.204	E92000001	England	E12000007	London
mm.domus.SE439	E92000001	England	E12000008	South East
mm.domus.SE438	NA	NA	NA	NA
mm.domus.SE435	E92000001	England	E12000006	East of England
mm.domus.SE434	E92000001	England	E12000008	South East
mm.domus.SE437	NA	NA	NA	NA
mm.domus.SE436	NA	NA	NA	NA
mm.domus.SE431	E92000001	England	E12000008	South East
mm.domus.SE430	E92000001	England	E12000006	East of England
mm.ace.1207	E92000001	England	E12000005	West Midlands
mm.domus.SE432	E92000001	England	E12000008	South East
mm.aim.0677	E92000001	England	E12000008	South East
mm.domus.SE279	E92000001	England	E12000008	South East
mm.misc.044	E92000001	England	E12000004	East Midlands
mm.hha.139	E92000001	England	E12000002	North West
mm.domus.WA091	W92000004	Wales	W92000004	Wales
mm.misc.046	E92000001	England	E12000002	North West
mm.domus.EM084	E92000001	England	E12000004	East Midlands
mm.domus.WA097	W92000004	Wales	W92000004	Wales
mm.misc.040	E92000001	England	E12000008	South East
mm.domus.NE063	E92000001	England	E12000001	North East
mm.domus.NE062	E92000001	England	E12000001	North East
