project_id	OA_GSS	country_name	region_gss	region_name	lad16_gss	lad16_name	OA_GSS	RUC_CODE
mm.domus.SE176	NA	NA	NA	NA	NA	NA	NA	NA
mm.domus.SE169	E00117556	England	E12000008	South East	E07000092	Rushmoor	E00117556	C1
mm.aim.0037	E00168248	England	E12000005	West Midlands	E08000030	Walsall	E00168248	A1
mm.musa.006	E00175186	England	E12000007	London	E09000033	Westminster	E00175186	A1
mm.domus.SW193	E00162629	England	E12000009	South West	E06000054	Wiltshire	E00162629	E1
mm.wiki.456	S00092705	Scotland	S92000003	Scotland	S12000034	Aberdeenshire	S00092705	NA
mm.domus.EM003	E00132158	England	E12000004	East Midlands	E07000137	East Lindsey	E00132158	D2
mm.misc.112	S00092921	Scotland	S92000003	Scotland	S12000034	Aberdeenshire	S00092921	NA
mm.fcm.001	E00154464	England	E12000006	East of England	E07000206	Waveney	E00154464	D1
mm.domus.EM059	E00137909	England	E12000004	East Midlands	E07000153	Kettering	E00137909	C1
mm.aim.0014	E00000035	England	E12000007	London	E09000001	City of London	E00000035	A1
mm.domus.SE177	E00114775	England	E12000008	South East	E07000085	East Hampshire	E00114775	C1
mm.hha.117	E00141084	England	E12000003	Yorkshire and The Humber	E07000165	Harrogate	E00141084	F1
mm.domus.SW093	E00100896	England	E12000009	South West	E07000040	East Devon	E00100896	C1
mm.domus.SC013	S00134034	Scotland	S92000003	Scotland	S12000040	West Lothian	S00134034	NA
mm.aim.0710	E00139187	England	E12000001	North East	E06000057	Northumberland	E00139187	D2
mm.aim.0018	E00151855	England	E12000005	West Midlands	E07000198	Staffordshire Moorlands	E00151855	F1
mm.hha.094	E00137307	England	E12000004	East Midlands	E07000151	Daventry	E00137307	E1
mm.domus.SC016	S00127032	Scotland	S92000003	Scotland	S12000024	Perth and Kinross	S00127032	NA
mm.domus.SE415	E00161282	England	E12000008	South East	E07000227	Horsham	E00161282	E1
mm.misc.084	N00002284	Northern Ireland	N92000002	Northern Ireland	N09000002	Armagh City Banbridge and Craigavon	N00002284	NA
mm.aim.0021	E00089523	England	E12000008	South East	E07000005	Chiltern	E00089523	C1
mm.domus.SE578	E00089542	England	E12000008	South East	E07000005	Chiltern	E00089542	C1
mm.domus.WA005	W00002740	Wales	W92000004	Wales	W06000008	Ceredigion	W00002740	C2
mm.domus.WA101	W00002641	Wales	W92000004	Wales	W06000023	Powys	W00002641	F2
mm.mgs.388	S00094128	Scotland	S92000003	Scotland	S12000035	Argyll and Bute	S00094128	NA
mm.domus.SE007	E00024124	England	E12000007	London	E09000033	Westminster	E00024124	A1
mm.domus.SC220	S00090695	Scotland	S92000003	Scotland	S12000033	Aberdeen City	S00090695	NA
mm.domus.SC293	S00107235	Scotland	S92000003	Scotland	S12000036	City of Edinburgh	S00107235	NA
mm.domus.WM103	E00166308	England	E12000005	West Midlands	E07000197	Stafford	E00166308	C1
mm.domus.SE116	E00134510	England	E12000006	East of England	E07000143	Breckland	E00134510	C1
mm.domus.SE178	E00117905	England	E12000008	South East	E07000093	Test Valley	E00117905	C1
mm.domus.SC068	S00109500	Scotland	S92000003	Scotland	S12000015	Fife	S00109500	NA
mm.domus.NI030	N00001655	Northern Ireland	N92000002	Northern Ireland	N09000008	Mid and East Antrim	N00001655	NA
mm.domus.WA081	W00002283	Wales	W92000004	Wales	W06000023	Powys	W00002283	E2
mm.domus.SE539	E00090861	England	E12000006	East of England	E07000009	East Cambridgeshire	E00090861	F1
mm.musa.008	S00092995	Scotland	S92000003	Scotland	S12000041	Angus	S00092995	NA
mm.domus.NE002	E00104477	England	E12000001	North East	E06000047	County Durham	E00104477	A1
mm.domus.WM033	E00159250	England	E12000005	West Midlands	E07000221	Stratford-on-Avon	E00159250	C1
mm.domus.SE416	E00106864	England	E12000008	South East	E07000063	Lewes	E00106864	C1
mm.domus.SW198	E00094811	England	E12000009	South West	E06000052	Cornwall	E00094811	E1
mm.wiki.341	E00150624	England	E12000005	West Midlands	E07000195	Newcastle-under-Lyme	E00150624	C1
mm.mgs.327	S00119362	Scotland	S92000003	Scotland	S12000017	Highland	S00119362	NA
mm.musa.010	E00175214	England	E12000007	London	E09000033	Westminster	E00175214	A1
mm.domus.NE033	E00043660	England	E12000001	North East	E08000023	South Tyneside	E00043660	A1
mm.domus.SC020	S00093260	Scotland	S92000003	Scotland	S12000041	Angus	S00093260	NA
mm.hha.112	E00168297	England	E12000005	West Midlands	E07000219	Nuneaton and Bedworth	E00168297	C1
mm.domus.SC024	S00091957	Scotland	S92000003	Scotland	S12000034	Aberdeenshire	S00091957	NA
mm.wiki.097	E00170764	England	E12000003	Yorkshire and The Humber	E06000010	Kingston upon Hull, City of	E00170764	C1
mm.hha.016	E00146334	England	E12000008	South East	E07000180	Vale of White Horse	E00146334	E1
mm.nimc.007	N00000423	Northern Ireland	N92000002	Northern Ireland	N09000002	Armagh City Banbridge and Craigavon	N00000423	NA
mm.domus.SC069	S00133192	Scotland	S92000003	Scotland	S12000030	Stirling	S00133192	NA
mm.hha.131	E00093862	England	E12000002	North West	E06000049	Cheshire East	E00093862	F1
mm.domus.SW231	E00101723	England	E12000009	South West	E07000043	North Devon	E00101723	F1
mm.mgs.367	S00134262	Scotland	S92000003	Scotland	S12000040	West Lothian	S00134262	NA
mm.domus.NI018	N00000474	Northern Ireland	N92000002	Northern Ireland	N09000002	Armagh City Banbridge and Craigavon	N00000474	NA
mm.domus.NI022	N00000359	Northern Ireland	N92000002	Northern Ireland	N09000002	Armagh City Banbridge and Craigavon	N00000359	NA
mm.domus.NW073	E00097958	England	E12000002	North West	E07000031	South Lakeland	E00097958	D2
mm.hha.158	S00120969	Scotland	S92000003	Scotland	S12000019	Midlothian	S00120969	NA
mm.domus.SC030	S00122806	Scotland	S92000003	Scotland	S12000021	North Ayrshire	S00122806	NA
mm.musa.012	E00174820	England	E12000007	London	E09000019	Islington	E00174820	A1
mm.musa.015	N00000540	Northern Ireland	N92000002	Northern Ireland	N09000008	Mid and East Antrim	N00000540	NA
mm.wiki.375	E00160060	England	E12000008	South East	E07000224	Arun	E00160060	D1
mm.domus.SE174	E00160061	England	E12000008	South East	E07000224	Arun	E00160061	D1
mm.wiki.393	E00163330	England	E12000009	South West	E06000054	Wiltshire	E00163330	C1
mm.domus.SE515	E00089471	England	E12000008	South East	E07000004	Aylesbury Vale	E00089471	D1
mm.ace.1163	E00155228	England	E12000008	South East	E07000209	Guildford	E00155228	C1
mm.misc.058	E00099215	England	E12000004	East Midlands	E07000035	Derbyshire Dales	E00099215	D1
mm.domus.SW157	E00102307	England	E12000009	South West	E07000045	Teignbridge	E00102307	D1
mm.domus.EM004	E00131523	England	E12000004	East Midlands	E07000134	North West Leicestershire	E00131523	C1
mm.wiki.121	E00112067	England	E12000006	East of England	E07000077	Uttlesford	E00112067	E1
mm.domus.SE248	E00121985	England	E12000008	South East	E07000105	Ashford	E00121985	C1
mm.domus.SE388	E00145301	England	E12000008	South East	E07000178	Oxford	E00145301	C1
mm.hha.074	E00118659	England	E12000006	East of England	E07000096	Dacorum	E00118659	F1
mm.domus.SE173	E00119787	England	E12000006	East of England	E07000099	North Hertfordshire	E00119787	D1
mm.MDN.005	E00037980	England	E12000003	Yorkshire and The Humber	E08000017	Doncaster	E00037980	B1
mm.aim.0036	E00175707	England	E12000005	West Midlands	E08000025	Birmingham	E00175707	A1
mm.domus.NW003	E00168640	England	E12000002	North West	E08000008	Tameside	E00168640	A1
mm.domus.NW007	E00031665	England	E12000002	North West	E08000010	Wigan	E00031665	A1
mm.domus.NW006	E00126578	England	E12000002	North West	E07000118	Chorley	E00126578	C1
mm.domus.WM065	E00045222	England	E12000005	West Midlands	E08000025	Birmingham	E00045222	A1
mm.aim.0038	E00145715	England	E12000008	South East	E07000179	South Oxfordshire	E00145715	E1
mm.hha.042	E00104175	England	E12000009	South West	E07000052	West Dorset	E00104175	F1
mm.domus.SW003	E00162931	England	E12000009	South West	E06000054	Wiltshire	E00162931	D1
mm.aim.0040	S00126311	Scotland	S92000003	Scotland	S12000024	Perth and Kinross	S00126311	NA
mm.wiki.490	S00126306	Scotland	S92000003	Scotland	S12000024	Perth and Kinross	S00126306	NA
mm.domus.NW014	E00035347	England	E12000002	North West	E08000014	Sefton	E00035347	C1
mm.domus.WM140	E00147467	England	E12000005	West Midlands	E06000051	Shropshire	E00147467	F1
mm.aim.0042	E00162727	England	E12000009	South West	E06000054	Wiltshire	E00162727	C1
mm.domus.SC032	S00094061	Scotland	S92000003	Scotland	S12000035	Argyll and Bute	S00094061	NA
mm.wiki.093	E00105926	England	E12000001	North East	E06000047	County Durham	E00105926	C1
mm.domus.SE478	E00112168	England	E12000006	East of England	E07000077	Uttlesford	E00112168	C1
mm.domus.SC071	S00101304	Scotland	S92000003	Scotland	S12000045	East Dunbartonshire	S00101304	NA
mm.domus.SC033	S00128946	Scotland	S92000003	Scotland	S12000027	Shetland Islands	S00128946	NA
mm.hha.008	E00118064	England	E12000008	South East	E07000094	Winchester	E00118064	F1
mm.aim.0044	E00075118	England	E12000009	South West	E06000025	South Gloucestershire	E00075118	C1
mm.domus.WM001	E00164063	England	E12000005	West Midlands	E07000234	Bromsgrove	E00164063	C1
mm.aim.0046	E00030011	England	E12000002	North West	E08000007	Stockport	E00030011	C1
mm.domus.SW094	E00100965	England	E12000009	South West	E07000040	East Devon	E00100965	D1
mm.domus.SW173	E00100638	England	E12000009	South West	E07000040	East Devon	E00100638	D1
mm.domus.NE003	E00105819	England	E12000001	North East	E06000047	County Durham	E00105819	C1
mm.aim.0049	E00134671	England	E12000006	East of England	E07000144	Broadland	E00134671	D1
mm.domus.EM013	E00133418	England	E12000004	East Midlands	E07000140	South Holland	E00133418	C1
mm.musa.022	S00129742	Scotland	S92000003	Scotland	S12000028	South Ayrshire	S00129742	NA
mm.musa.023	E00128820	England	E12000002	North West	E07000125	Rossendale	E00128820	C1
mm.ace.1086	E00159498	England	E12000005	West Midlands	E07000222	Warwick	E00159498	E1
mm.domus.YH011	E00055684	England	E12000003	Yorkshire and The Humber	E08000034	Kirklees	E00055684	A1
mm.ace.1189	E00139190	England	E12000001	North East	E06000057	Northumberland	E00139190	D2
mm.domus.SC271	S00099989	Scotland	S92000003	Scotland	S12000008	East Ayrshire	S00099989	NA
mm.aim.0052	W00005083	Wales	W92000004	Wales	W06000012	Neath Port Talbot	W00005083	C1
mm.fcm.013	E00149518	England	E12000009	South West	E07000191	West Somerset	E00149518	F1
mm.domus.EM014	E00099138	England	E12000004	East Midlands	E07000035	Derbyshire Dales	E00099138	D1
mm.wiki.206	E00119821	England	E12000006	East of England	E07000099	North Hertfordshire	E00119821	C1
mm.musa.026	N00003358	Northern Ireland	N92000002	Northern Ireland	N09000007	Lisburn and Castlereagh	N00003358	NA
mm.hha.163	S00121209	Scotland	S92000003	Scotland	S12000020	Moray	S00121209	NA
mm.domus.NI025	N00003655	Northern Ireland	N92000002	Northern Ireland	N09000004	Causeway Coast and Glens	N00003655	NA
mm.domus.NI023	N00000699	Northern Ireland	N92000002	Northern Ireland	N09000004	Causeway Coast and Glens	N00000699	NA
mm.hha.164	S00092591	Scotland	S92000003	Scotland	S12000034	Aberdeenshire	S00092591	NA
mm.aim.0054	E00139293	England	E12000001	North East	E06000057	Northumberland	E00139293	E2
mm.domus.SE181	E00144920	England	E12000008	South East	E07000177	Cherwell	E00144920	C1
mm.domus.SC028	S00091545	Scotland	S92000003	Scotland	S12000034	Aberdeenshire	S00091545	NA
mm.wiki.237	E00127900	England	E12000002	North West	E07000122	Pendle	E00127900	F1
mm.domus.SC027	S00092080	Scotland	S92000003	Scotland	S12000034	Aberdeenshire	S00092080	NA
mm.domus.WA102	W00010048	Wales	W92000004	Wales	W06000002	Gwynedd	W00010048	C1
mm.aim.0057	E00166755	England	E12000007	London	E09000001	City of London	E00166755	A1
mm.domus.YH111	E00055247	England	E12000003	Yorkshire and The Humber	E08000033	Calderdale	E00055247	A1
mm.wiki.416	N00000789	Northern Ireland	N92000002	Northern Ireland	N09000002	Armagh City Banbridge and Craigavon	N00000789	NA
mm.ace.1177	E00023945	England	E12000007	London	E09000033	Westminster	E00023945	A1
mm.domus.WM015	E00053043	England	E12000005	West Midlands	E08000031	Wolverhampton	E00053043	A1
mm.aim.0058	E00067746	England	E12000003	Yorkshire and The Humber	E06000014	York	E00067746	C1
mm.domus.SW178	E00096068	England	E12000009	South West	E06000052	Cornwall	E00096068	D1
mm.domus.WM082	E00045648	England	E12000005	West Midlands	E08000025	Birmingham	E00045648	A1
mm.domus.YH030	E00067490	England	E12000003	Yorkshire and The Humber	E06000014	York	E00067490	C1
mm.musa.031	E00107978	England	E12000006	East of England	E07000066	Basildon	E00107978	C1
mm.aim82NM.012	W00000245	Wales	W92000004	Wales	W06000002	Gwynedd	W00000245	D2
mm.aim.0060	W00000245	Wales	W92000004	Wales	W06000002	Gwynedd	W00000245	D2
mm.nimc.013	N00002247	Northern Ireland	N92000002	Northern Ireland	N09000002	Armagh City Banbridge and Craigavon	N00002247	NA
mm.domus.SE004	E00001425	England	E12000007	London	E09000003	Barnet	E00001425	A1
mm.aim.0062	E00102765	England	E12000009	South West	E07000046	Torridge	E00102765	E2
mm.domus.SC070	S00101304	Scotland	S92000003	Scotland	S12000045	East Dunbartonshire	S00101304	NA
mm.mgs.044	S00135263	Scotland	S92000003	Scotland	S12000013	Na h-Eileanan Siar	S00135263	NA
mm.ace.1238	E00098769	England	E12000004	East Midlands	E07000034	Chesterfield	E00098769	C1
mm.mald.052	W00005606	Wales	W92000004	Wales	W06000014	Vale of Glamorgan	W00005606	C1
mm.wiki.281	E00135060	England	E12000006	East of England	E07000144	Broadland	E00135060	F1
mm.domus.SE518	E00082135	England	E12000008	South East	E06000037	West Berkshire	E00082135	F1
mm.domus.SE599	E00114262	England	E12000008	South East	E07000084	Basingstoke and Deane	E00114262	C1
mm.wiki.333	E00149168	England	E12000009	South West	E07000190	Taunton Deane	E00149168	E1
mm.domus.EM015	E00142724	England	E12000004	East Midlands	E07000171	Bassetlaw	E00142724	C1
mm.domus.SE528	E00107169	England	E12000008	South East	E07000064	Rother	E00107169	F1
mm.domus.SW095	E00072574	England	E12000009	South West	E06000022	Bath and North East Somerset	E00072574	C1
mm.domus.SW005	E00072573	England	E12000009	South West	E06000022	Bath and North East Somerset	E00072573	C1
mm.domus.SW174	E00072756	England	E12000009	South West	E06000022	Bath and North East Somerset	E00072756	C1
mm.domus.YH017	E00060090	England	E12000003	Yorkshire and The Humber	E08000036	Wakefield	E00060090	A1
mm.domus.SE187	E00107095	England	E12000008	South East	E07000064	Rother	E00107095	D1
mm.wiki.150	E00012492	England	E12000007	London	E09000017	Hillingdon	E00012492	A1
mm.wiki.255	E00169347	England	E12000004	East Midlands	E07000137	East Lindsey	E00169347	D1
mm.musa.035	E00109692	England	E12000006	East of England	E07000070	Chelmsford	E00109692	F1
mm.aim.0067	E00153206	England	E12000006	East of England	E07000203	Mid Suffolk	E00153206	E1
mm.misc.137	E00109227	England	E12000006	East of England	E07000069	Castle Point	E00109227	C1
mm.musa.036	E00175340	England	E12000003	Yorkshire and The Humber	E06000011	East Riding of Yorkshire	E00175340	C1
mm.domus.YH033	E00066902	England	E12000003	Yorkshire and The Humber	E06000013	North Lincolnshire	E00066902	C1
mm.domus.SW188	E00103900	England	E12000009	South West	E07000052	West Dorset	E00103900	D1
mm.domus.NE004	E00104634	England	E12000001	North East	E06000047	County Durham	E00104634	F1
mm.domus.SE214	E00122478	England	E12000008	South East	E07000106	Canterbury	E00122478	C1
mm.domus.NW172	E00097837	England	E12000002	North West	E07000031	South Lakeland	E00097837	E2
mm.musa.037	E00116850	England	E12000008	South East	E07000091	New Forest	E00116850	E1
mm.domus.WA007	W00000020	Wales	W92000004	Wales	W06000001	Isle of Anglesey	W00000020	D1
mm.domus.SE418	E00154146	England	E12000006	East of England	E07000206	Waveney	E00154146	C1
mm.domus.YH034	E00141566	England	E12000003	Yorkshire and The Humber	E07000167	Ryedale	E00141566	D2
mm.domus.SW004	E00072796	England	E12000009	South West	E06000022	Bath and North East Somerset	E00072796	C1
mm.domus.YH032	E00140451	England	E12000003	Yorkshire and The Humber	E07000164	Hambleton	E00140451	D1
mm.domus.SE339	E00079582	England	E12000006	East of England	E06000032	Luton	E00079582	C1
mm.aim.0993	E00158376	England	E12000005	West Midlands	E07000219	Nuneaton and Bedworth	E00158376	C1
mm.aim.0074	E00125505	England	E12000008	South East	E07000115	Tonbridge and Malling	E00125505	F1
mm.domus.SE196	E00080382	England	E12000006	East of England	E06000033	Southend-on-Sea	E00080382	C1
mm.ace.1109	E00092672	England	E12000002	North West	E06000050	Cheshire West and Chester	E00092672	F1
mm.domus.EM069	E00068794	England	E12000004	East Midlands	E06000016	Leicester	E00068794	C1
mm.musa.039	N00003534	Northern Ireland	N92000002	Northern Ireland	N09000009	Mid Ulster	N00003534	NA
mm.wiki.419	N00002924	Northern Ireland	N92000002	Northern Ireland	N09000006	Fermanagh and Omagh	N00002924	NA
mm.hha.011	E00124694	England	E12000008	South East	E07000113	Swale	E00124694	F1
mm.wiki.064	E00098163	England	E12000004	East Midlands	E07000032	Amber Valley	E00098163	C1
mm.musa.041	E00139689	England	E12000001	North East	E06000057	Northumberland	E00139689	F1
mm.domus.EM088	E00133649	England	E12000004	East Midlands	E07000141	South Kesteven	E00133649	C1
mm.hha.089	E00131361	England	E12000004	East Midlands	E07000133	Melton	E00131361	E1
mm.aim.0077	E00087289	England	E12000008	South East	E06000046	Isle of Wight	E00087289	D1
mm.domus.SE005	E00004606	England	E12000007	London	E09000007	Camden	E00004606	A1
mm.domus.YH156	E00140639	England	E12000003	Yorkshire and The Humber	E07000164	Hambleton	E00140639	E1
mm.aim.0079	E00023936	England	E12000007	London	E09000033	Westminster	E00023936	A1
mm.domus.SC072	S00134372	Scotland	S92000003	Scotland	S12000040	West Lothian	S00134372	NA
mm.domus.WM139	E00146882	England	E12000005	West Midlands	E06000051	Shropshire	E00146882	F1
mm.wiki.107	E00107516	England	E12000008	South East	E07000065	Wealden	E00107516	F1
mm.aim.0081	E00011126	England	E12000007	London	E09000015	Harrow	E00011126	A1
mm.ace.1217	E00154017	England	E12000006	East of England	E07000205	Suffolk Coastal	E00154017	D1
mm.wiki.141	E00113616	England	E12000009	South West	E07000082	Stroud	E00113616	D1
mm.musa.042	E00167041	England	E12000008	South East	E06000041	Wokingham	E00167041	C1
mm.ace.1116	E00082908	England	E12000008	South East	E06000038	Reading	E00082908	C1
mm.domus.SE194	E00083787	England	E12000008	South East	E06000040	Windsor and Maidenhead	E00083787	C1
mm.ace.1089	E00071186	England	E12000005	West Midlands	E06000019	Herefordshire, County of	E00071186	F2
mm.domus.NE006	E00139323	England	E12000001	North East	E06000057	Northumberland	E00139323	C2
mm.domus.SE006	E00003763	England	E12000007	London	E09000006	Bromley	E00003763	A1
mm.domus.YH168	E00065941	England	E12000003	Yorkshire and The Humber	E06000011	East Riding of Yorkshire	E00065941	C1
mm.ace.1118	E00065937	England	E12000003	Yorkshire and The Humber	E06000011	East Riding of Yorkshire	E00065937	C1
mm.domus.WM039	E00165385	England	E12000005	West Midlands	E07000239	Wyre Forest	E00165385	D1
mm.domus.SE192	E00107138	England	E12000008	South East	E07000064	Rother	E00107138	C1
mm.domus.SE191	E00001600	England	E12000007	London	E09000004	Bexley	E00001600	A1
mm.musa.045	E00100950	England	E12000009	South West	E07000040	East Devon	E00100950	E1
mm.wiki.076	E00102709	England	E12000009	South West	E07000046	Torridge	E00102709	C1
mm.domus.WA016	W00007774	Wales	W92000004	Wales	W06000020	Torfaen	W00007774	E1
mm.mgs.223	S00130838	Scotland	S92000003	Scotland	S12000029	South Lanarkshire	S00130838	NA
mm.domus.SC007	S00132501	Scotland	S92000003	Scotland	S12000029	South Lanarkshire	S00132501	NA
mm.musa.046	S00132380	Scotland	S92000003	Scotland	S12000029	South Lanarkshire	S00132380	NA
mm.musa.047	E00166610	England	E12000008	South East	E07000225	Chichester	E00166610	F1
mm.domus.WM014	E00052611	England	E12000005	West Midlands	E08000031	Wolverhampton	E00052611	A1
mm.musa.048	E00097179	England	E12000002	North West	E07000028	Carlisle	E00097179	F2
mm.domus.NW059	E00036979	England	E12000002	North West	E08000015	Wirral	E00036979	A1
mm.ace.1208	E00175767	England	E12000005	West Midlands	E08000025	Birmingham	E00175767	A1
mm.domus.WM063	E00175652	England	E12000005	West Midlands	E08000025	Birmingham	E00175652	A1
mm.wiki.368	E00175614	England	E12000005	West Midlands	E08000025	Birmingham	E00175614	A1
mm.domus.WM113	E00050333	England	E12000005	West Midlands	E08000028	Sandwell	E00050333	A1
mm.domus.SE152	E00134275	England	E12000006	East of England	E07000143	Breckland	E00134275	C1
mm.wiki.324	E00149046	England	E12000009	South West	E07000190	Taunton Deane	E00149046	D1
mm.domus.SE087	E00118146	England	E12000008	South East	E07000094	Winchester	E00118146	C1
mm.ace.1240	E00147640	England	E12000005	West Midlands	E06000051	Shropshire	E00147640	D2
mm.domus.YH022	E00040453	England	E12000003	Yorkshire and The Humber	E08000019	Sheffield	E00040453	B1
mm.ace.504	E00119086	England	E12000006	East of England	E07000242	East Hertfordshire	E00119086	C1
mm.aim.0098	E00102328	England	E12000009	South West	E07000045	Teignbridge	E00102328	D1
mm.musa.050	E00086982	England	E12000008	South East	E06000045	Southampton	E00086982	C1
mm.domus.WM110	E00070725	England	E12000005	West Midlands	E06000019	Herefordshire, County of	E00070725	C1
mm.domus.WM042	E00049371	England	E12000005	West Midlands	E08000027	Dudley	E00049371	A1
mm.domus.SC038	S00126648	Scotland	S92000003	Scotland	S12000024	Perth and Kinross	S00126648	NA
mm.domus.NW121	E00063735	England	E12000002	North West	E06000008	Blackburn with Darwen	E00063735	C1
mm.aim82M.004	E00087361	England	E12000008	South East	E06000046	Isle of Wight	E00087361	E1
mm.domus.SC309	S00134215	Scotland	S92000003	Scotland	S12000040	West Lothian	S00134215	NA
mm.aim.0099	N00001444	Northern Ireland	N92000002	Northern Ireland	N09000003	Belfast	N00001444	NA
mm.ace.1128	E00098101	England	E12000002	North West	E07000031	South Lakeland	E00098101	F2
mm.mald.014	W00007769	Wales	W92000004	Wales	W06000020	Torfaen	W00007769	D1
mm.wiki.452	W00007779	Wales	W92000004	Wales	W06000020	Torfaen	W00007779	D1
mm.wiki.325	E00074490	England	E12000009	South West	E06000024	North Somerset	E00074490	E1
mm.mald.015	W00007548	Wales	W92000004	Wales	W06000019	Blaenau Gwent	W00007548	C1
mm.hha.169	S00126310	Scotland	S92000003	Scotland	S12000024	Perth and Kinross	S00126310	NA
mm.domus.SC034	S00091317	Scotland	S92000003	Scotland	S12000034	Aberdeenshire	S00091317	NA
mm.domus.SW012	E00073757	England	E12000009	South West	E06000023	Bristol, City of	E00073757	C1
mm.domus.SW001	E00148264	England	E12000009	South West	E07000188	Sedgemoor	E00148264	C1
mm.domus.WM066	E00048155	England	E12000005	West Midlands	E08000025	Birmingham	E00048155	A1
mm.ace.1112	E00103572	England	E12000009	South West	E07000050	North Dorset	E00103572	C1
mm.domus.SW045	E00103572	England	E12000009	South West	E07000050	North Dorset	E00103572	C1
mm.hha.017	E00146796	England	E12000008	South East	E07000181	West Oxfordshire	E00146796	E1
mm.musa.052	N00002875	Northern Ireland	N92000002	Northern Ireland	N09000009	Mid Ulster	N00002875	NA
mm.ace.1278	E00175378	England	E12000008	South East	E06000042	Milton Keynes	E00175378	C1
mm.domus.SE538	E00134678	England	E12000006	East of England	E07000144	Broadland	E00134678	F1
mm.domus.WM126	E00071294	England	E12000005	West Midlands	E06000020	Telford and Wrekin	E00071294	C1
mm.domus.SE198	E00145090	England	E12000008	South East	E07000177	Cherwell	E00145090	D1
mm.aim.1305	E00149055	England	E12000009	South West	E07000190	Taunton Deane	E00149055	D1
mm.ace.1164	E00106777	England	E12000008	South East	E07000063	Lewes	E00106777	E1
