project_id	LSOA_GSS	combined_idx_dec	income	employment	education	health	crime	housing	services	country
mm.mgs.321	S01007026	7	6	7	4	6	6	9	8	scotland
mm.domus.WM060	E01014287	1	1	1	1	1	1	2	4	england
mm.ace.1137	E01023579	7	6	7	7	7	8	5	4	england
mm.hha.038	E01020240	8	6	7	7	7	10	6	8	england
mm.domus.SE090	E01024641	3	3	2	2	4	7	9	5	england
mm.mald.124	W01000498	2	2	3	3	3	2	1	2	wales
mm.domus.WA020	W01000498	2	2	3	3	3	2	1	2	wales
mm.domus.NW096	E01006463	1	1	1	3	1	1	2	8	england
mm.aim.1006	E01022434	10	10	10	10	10	10	10	2	england
mm.domus.SE212	E01016935	6	5	7	8	5	4	3	4	england
mm.domus.NE008	E01012264	4	3	4	4	2	8	7	4	england
mm.domus.SC274	S01008218	6	5	6	7	8	3	9	3	scotland
mm.ace.1277	E01018024	4	6	7	5	8	5	4	1	england
mm.hha.032	E01018958	3	4	5	2	6	5	2	1	england
mm.domus.SE139	E01031766	7	9	8	8	10	10	2	1	england
mm.domus.SE441	E01033209	3	4	2	5	4	4	2	4	england
mm.ace.1179	E01009642	2	6	8	3	1	2	1	1	england
mm.domus.SE247	E01015861	2	2	2	2	3	1	3	3	england
mm.domus.SC127	E01032809	10	10	10	10	10	8	6	4	england
mm.domus.SC005	S01006646	8	8	10	6	7	1	1	9	scotland
mm.aim.0598	E01016036	3	5	6	2	4	4	2	2	england
mm.domus.NW164	E01033681	7	10	10	7	5	8	1	2	england
mm.misc.111	E01020466	6	7	8	5	9	6	2	5	england
mm.wiki.137	E01016014	3	2	4	2	5	2	7	4	england
mm.domus.SW087	E01031955	9	9	8	8	7	7	7	8	england
mm.domus.NW187	E01019360	6	6	6	9	5	5	2	9	england
mm.domus.NW027	E01018651	5	6	6	5	5	4	4	2	england
mm.domus.WA075	W01000063	4	4	5	6	5	5	3	2	wales
mm.domus.SE535	E01024483	10	10	10	9	9	8	5	7	england
mm.wiki.168	E01003847	9	9	10	10	10	5	3	6	england
mm.misc.081	E01004644	5	4	6	7	6	4	5	1	england
mm.domus.WM040	E01031324	7	7	7	7	7	6	3	9	england
mm.domus.SE470	E01033090	2	3	3	5	3	1	1	3	england
mm.domus.YH150	E01033068	5	7	8	7	7	1	1	6	england
mm.domus.SE458	E01020910	2	2	2	3	2	2	1	8	england
mm.wiki.229	E01024597	1	1	1	1	2	2	3	2	england
mm.domus.SC137	S01009003	10	8	10	10	9	7	9	7	scotland
mm.mgs.396	S01012387	7	8	8	8	8	9	7	1	scotland
mm.hha.148	E01020867	5	7	6	7	6	7	4	1	england
mm.domus.WA021	W01000454	3	2	2	5	5	1	7	8	wales
mm.domus.SW177	E01014448	4	3	3	2	4	6	7	5	england
mm.aim.0778	E01012564	6	7	5	8	2	4	9	10	england
mm.wiki.265	E01026179	7	10	10	7	8	10	7	1	england
mm.wiki.266	E01026400	8	8	9	7	6	9	8	3	england
mm.wiki.003	E01017443	10	9	10	7	9	10	8	7	england
mm.aim.0781	E01016774	8	8	9	10	9	4	10	2	england
mm.wiki.267	E01026184	10	10	10	8	8	10	10	6	england
mm.wiki.268	E01026372	7	7	6	7	7	9	8	3	england
mm.domus.SE057	E01004270	3	3	6	6	5	1	2	1	england
mm.wiki.384	E01010716	2	3	3	3	2	2	1	6	england
mm.domus.NW153	E01019259	5	8	6	4	5	10	1	3	england
mm.domus.SE428	E01015622	4	4	4	5	4	2	5	5	england
mm.aim.0786	E01006895	8	8	7	10	4	7	7	10	england
mm.misc.043	E01019310	5	9	10	5	9	10	1	1	england
mm.hha.179	S01007631	7	8	9	8	9	4	10	1	scotland
mm.domus.SE092	E01018156	6	7	6	6	8	6	10	1	england
mm.domus.SE261	E01024649	1	1	1	4	2	1	2	5	england
mm.aim.0788	E01024646	2	2	2	5	3	1	1	5	england
mm.domus.SE474	E01001642	7	8	10	10	10	1	2	7	england
mm.aim.0790	E01021918	10	10	9	8	10	10	10	9	england
mm.ace.1212	E01021955	3	3	4	2	6	3	7	4	england
mm.domus.SE094	E01033415	4	6	6	6	5	1	2	1	england
mm.wiki.372	E01009745	5	5	6	6	4	8	2	7	england
mm.domus.SW195	E01020367	8	7	8	8	9	5	4	8	england
mm.domus.SW010	E01014542	4	9	10	4	3	2	1	2	england
mm.wiki.209	E01023724	10	9	9	10	10	10	8	9	england
mm.domus.SE564	E01003689	2	2	4	5	3	1	1	1	england
mm.ace.1243	E01029461	6	6	6	4	5	5	3	8	england
mm.ace.1260	E01020910	2	2	2	3	2	2	1	8	england
mm.ace.1284	E01018914	4	5	3	6	4	3	2	4	england
mm.domus.SC259	S01012719	4	4	4	5	5	3	3	7	scotland
mm.domus.SC177	S01008675	4	6	4	4	5	1	1	9	scotland
mm.wiki.358	E01030620	10	9	10	10	10	7	6	6	england
mm.mgs.289	S01012185	2	3	2	1	2	2	1	10	scotland
mm.aim.0795	E01019791	5	5	4	3	5	7	7	10	england
mm.misc.122	E01026765	4	6	5	3	8	10	1	1	england
mm.hha.015	E01016130	4	5	6	9	7	1	1	7	england
mm.domus.EM080	E01019572	2	2	1	1	1	5	8	4	england
mm.aim.0797	W01000487	6	6	6	5	5	7	7	2	wales
mm.domus.WA062	W01001171	3	4	3	3	4	5	7	3	wales
mm.domus.WA014	W01000240	1	1	1	1	1	1	1	8	wales
mm.mald.130	W01000241	1	1	1	1	1	1	1	6	wales
mm.domus.NW141	E01025288	5	4	5	7	2	7	3	7	england
mm.domus.NW045	E01025342	9	9	10	9	9	10	3	6	england
mm.domus.NW152	E01025342	9	9	10	9	9	10	3	6	england
mm.wiki.306	E01013369	6	6	6	6	6	3	3	7	england
mm.domus.SW072	E01015583	7	8	8	7	8	5	9	2	england
mm.domus.YH171	E01027770	5	5	4	5	5	3	3	6	england
mm.domus.YH089	E01027766	7	5	6	8	6	8	7	5	england
mm.wiki.138	E01021430	6	6	5	5	8	7	5	3	england
mm.aim.0803	E01017486	5	5	6	4	8	2	5	2	england
mm.domus.YH170	E01027780	6	8	8	5	10	9	1	1	england
mm.domus.YH159	E01027780	6	8	8	5	10	9	1	1	england
mm.hha.125	E01027665	9	9	9	9	9	10	6	2	england
mm.domus.YH088	E01027705	7	6	6	5	7	8	6	6	england
mm.mald.132	W01001411	4	5	4	4	3	4	5	9	wales
