GSS	wimd_2014_dec	wimd_2014_dec_fac	income_dec	income_dec_fac	employment_dec	employment_dec_fac	health_dec	health_dec_fac	education_dec	education_dec_fac	access_to_services_dec	access_to_services_dec_fac	community_safety_dec	community_safety_dec_fac	physical_environment_dec	physical_environment_dec_fac	housing_dec	housing_dec_fac
W01000539	6	dec06	7	dec07	7	dec07	8	dec08	8	dec08	1	dec01-highd	10	dec10-lowd	10	dec10-lowd	2	dec02
W01000540	6	dec06	6	dec06	6	dec06	6	dec06	8	dec08	2	dec02	9	dec09	10	dec10-lowd	5	dec05
W01000541	6	dec06	8	dec08	7	dec07	6	dec06	7	dec07	1	dec01-highd	10	dec10-lowd	5	dec05	2	dec02
W01000542	5	dec05	7	dec07	7	dec07	8	dec08	6	dec06	1	dec01-highd	9	dec09	8	dec08	2	dec02
W01000543	6	dec06	8	dec08	7	dec07	9	dec09	7	dec07	1	dec01-highd	9	dec09	8	dec08	3	dec03
W01000544	5	dec05	5	dec05	7	dec07	7	dec07	4	dec04	4	dec04	4	dec04	10	dec10-lowd	1	dec01-highd
W01000545	7	dec07	9	dec09	7	dec07	9	dec09	7	dec07	1	dec01-highd	10	dec10-lowd	7	dec07	7	dec07
W01000546	5	dec05	6	dec06	5	dec05	4	dec04	6	dec06	2	dec02	9	dec09	7	dec07	6	dec06
W01000547	8	dec08	8	dec08	7	dec07	8	dec08	9	dec09	1	dec01-highd	10	dec10-lowd	10	dec10-lowd	6	dec06
W01000548	7	dec07	7	dec07	7	dec07	7	dec07	9	dec09	2	dec02	8	dec08	8	dec08	7	dec07
W01000549	9	dec09	10	dec10-lowd	10	dec10-lowd	9	dec09	10	dec10-lowd	1	dec01-highd	10	dec10-lowd	8	dec08	7	dec07
W01000550	6	dec06	6	dec06	6	dec06	7	dec07	5	dec05	3	dec03	9	dec09	7	dec07	8	dec08
W01000551	5	dec05	6	dec06	7	dec07	7	dec07	6	dec06	1	dec01-highd	10	dec10-lowd	10	dec10-lowd	6	dec06
W01000552	8	dec08	9	dec09	9	dec09	9	dec09	9	dec09	1	dec01-highd	10	dec10-lowd	8	dec08	5	dec05
W01000553	7	dec07	7	dec07	7	dec07	8	dec08	7	dec07	1	dec01-highd	10	dec10-lowd	8	dec08	8	dec08
W01000554	8	dec08	9	dec09	8	dec08	8	dec08	8	dec08	1	dec01-highd	10	dec10-lowd	10	dec10-lowd	6	dec06
W01000555	8	dec08	9	dec09	9	dec09	8	dec08	9	dec09	1	dec01-highd	9	dec09	8	dec08	6	dec06
W01000556	7	dec07	8	dec08	8	dec08	7	dec07	8	dec08	1	dec01-highd	10	dec10-lowd	10	dec10-lowd	8	dec08
W01000557	8	dec08	9	dec09	8	dec08	8	dec08	9	dec09	1	dec01-highd	9	dec09	7	dec07	5	dec05
W01000558	6	dec06	7	dec07	7	dec07	5	dec05	6	dec06	1	dec01-highd	9	dec09	7	dec07	3	dec03
W01000559	6	dec06	6	dec06	8	dec08	8	dec08	7	dec07	1	dec01-highd	10	dec10-lowd	8	dec08	2	dec02
W01000560	6	dec06	7	dec07	8	dec08	8	dec08	8	dec08	1	dec01-highd	10	dec10-lowd	9	dec09	2	dec02
W01000561	7	dec07	7	dec07	8	dec08	10	dec10-lowd	8	dec08	1	dec01-highd	10	dec10-lowd	8	dec08	3	dec03
W01000562	7	dec07	8	dec08	9	dec09	10	dec10-lowd	8	dec08	1	dec01-highd	10	dec10-lowd	10	dec10-lowd	4	dec04
W01000563	6	dec06	6	dec06	7	dec07	8	dec08	8	dec08	1	dec01-highd	10	dec10-lowd	10	dec10-lowd	3	dec03
W01000564	7	dec07	6	dec06	7	dec07	6	dec06	7	dec07	4	dec04	9	dec09	10	dec10-lowd	6	dec06
W01000565	7	dec07	5	dec05	6	dec06	8	dec08	6	dec06	7	dec07	5	dec05	7	dec07	6	dec06
W01000566	5	dec05	4	dec04	4	dec04	5	dec05	3	dec03	7	dec07	3	dec03	10	dec10-lowd	4	dec04
W01000567	5	dec05	4	dec04	5	dec05	6	dec06	4	dec04	4	dec04	5	dec05	9	dec09	3	dec03
W01000568	3	dec03	3	dec03	3	dec03	3	dec03	6	dec06	8	dec08	1	dec01-highd	3	dec03	2	dec02
W01000569	8	dec08	7	dec07	8	dec08	8	dec08	5	dec05	6	dec06	8	dec08	8	dec08	8	dec08
W01000570	1	dec01-highd	1	dec01-highd	1	dec01-highd	1	dec01-highd	1	dec01-highd	3	dec03	2	dec02	8	dec08	3	dec03
W01000571	6	dec06	5	dec05	6	dec06	6	dec06	4	dec04	7	dec07	4	dec04	6	dec06	5	dec05
W01000572	7	dec07	7	dec07	7	dec07	5	dec05	7	dec07	5	dec05	4	dec04	5	dec05	4	dec04
W01000573	7	dec07	6	dec06	8	dec08	7	dec07	7	dec07	5	dec05	6	dec06	2	dec02	7	dec07
W01000574	6	dec06	8	dec08	8	dec08	9	dec09	9	dec09	1	dec01-highd	8	dec08	8	dec08	8	dec08
W01000575	6	dec06	6	dec06	7	dec07	4	dec04	5	dec05	2	dec02	8	dec08	7	dec07	5	dec05
W01000576	5	dec05	5	dec05	6	dec06	7	dec07	5	dec05	2	dec02	8	dec08	10	dec10-lowd	2	dec02
W01000577	8	dec08	8	dec08	8	dec08	9	dec09	8	dec08	1	dec01-highd	10	dec10-lowd	8	dec08	6	dec06
W01000578	7	dec07	8	dec08	6	dec06	9	dec09	9	dec09	1	dec01-highd	9	dec09	9	dec09	5	dec05
W01000579	6	dec06	7	dec07	7	dec07	8	dec08	7	dec07	1	dec01-highd	8	dec08	8	dec08	6	dec06
W01000580	8	dec08	8	dec08	8	dec08	8	dec08	7	dec07	2	dec02	10	dec10-lowd	9	dec09	6	dec06
W01000581	7	dec07	7	dec07	8	dec08	8	dec08	8	dec08	1	dec01-highd	10	dec10-lowd	10	dec10-lowd	6	dec06
W01000582	6	dec06	7	dec07	9	dec09	9	dec09	8	dec08	1	dec01-highd	10	dec10-lowd	10	dec10-lowd	3	dec03
W01000583	7	dec07	6	dec06	8	dec08	9	dec09	7	dec07	1	dec01-highd	9	dec09	10	dec10-lowd	8	dec08
W01000584	6	dec06	6	dec06	7	dec07	8	dec08	7	dec07	1	dec01-highd	8	dec08	10	dec10-lowd	4	dec04
W01000585	7	dec07	8	dec08	9	dec09	7	dec07	9	dec09	1	dec01-highd	10	dec10-lowd	8	dec08	5	dec05
W01000586	4	dec04	3	dec03	5	dec05	5	dec05	3	dec03	2	dec02	6	dec06	2	dec02	6	dec06
W01000587	4	dec04	5	dec05	4	dec04	6	dec06	5	dec05	7	dec07	2	dec02	1	dec01-highd	3	dec03
W01000588	3	dec03	3	dec03	3	dec03	6	dec06	4	dec04	3	dec03	4	dec04	3	dec03	5	dec05
W01000589	4	dec04	4	dec04	4	dec04	5	dec05	3	dec03	10	dec10-lowd	4	dec04	1	dec01-highd	5	dec05
W01000590	4	dec04	4	dec04	5	dec05	5	dec05	4	dec04	4	dec04	7	dec07	1	dec01-highd	9	dec09
W01000591	4	dec04	4	dec04	4	dec04	6	dec06	4	dec04	6	dec06	4	dec04	2	dec02	3	dec03
W01000592	1	dec01-highd	2	dec02	2	dec02	3	dec03	1	dec01-highd	2	dec02	3	dec03	2	dec02	2	dec02
W01000593	5	dec05	5	dec05	6	dec06	5	dec05	5	dec05	3	dec03	6	dec06	5	dec05	5	dec05
W01000594	2	dec02	2	dec02	2	dec02	3	dec03	2	dec02	9	dec09	3	dec03	2	dec02	3	dec03
W01000595	6	dec06	5	dec05	6	dec06	6	dec06	7	dec07	8	dec08	5	dec05	10	dec10-lowd	2	dec02
W01000596	8	dec08	8	dec08	8	dec08	7	dec07	8	dec08	2	dec02	10	dec10-lowd	10	dec10-lowd	8	dec08
W01000597	7	dec07	7	dec07	7	dec07	9	dec09	7	dec07	3	dec03	9	dec09	7	dec07	4	dec04
W01000598	6	dec06	5	dec05	5	dec05	7	dec07	5	dec05	8	dec08	3	dec03	9	dec09	9	dec09
W01000599	5	dec05	5	dec05	5	dec05	6	dec06	6	dec06	3	dec03	6	dec06	4	dec04	5	dec05
W01000600	2	dec02	2	dec02	1	dec01-highd	2	dec02	2	dec02	8	dec08	1	dec01-highd	5	dec05	1	dec01-highd
W01000601	1	dec01-highd	1	dec01-highd	1	dec01-highd	1	dec01-highd	1	dec01-highd	3	dec03	1	dec01-highd	3	dec03	1	dec01-highd
W01000602	4	dec04	4	dec04	3	dec03	6	dec06	5	dec05	8	dec08	4	dec04	3	dec03	3	dec03
W01000603	4	dec04	4	dec04	3	dec03	4	dec04	5	dec05	5	dec05	2	dec02	7	dec07	6	dec06
W01000604	3	dec03	3	dec03	3	dec03	5	dec05	2	dec02	2	dec02	5	dec05	10	dec10-lowd	2	dec02
