project_id	LSOA2011_GSS
mm.aim82NM.020	E01000939
mm.domus.WM126	E01014116
mm.wiki.282	E01026627
mm.domus.SE198	E01028476
mm.aim.1305	E01029258
mm.ace.1164	E01021025
mm.wiki.302	E01027440
mm.domus.SC073	S01009255
mm.domus.SC041	S01012401
mm.aim82M.071	W01000020
mm.domus.WA012	W01000191
mm.musa.053	E01018935
mm.domus.SW013	E01018933
mm.hha.185	W01000223
mm.aim.0105	E01031436
mm.domus.YH037	E01010613
mm.wiki.020	E01018576
mm.hha.118	E01027744
mm.domus.NW109	E01033217
mm.domus.NW016	E01004869
mm.wiki.271	E01026386
mm.wiki.062	E01019104
mm.fcm.026	S01009260
mm.domus.SE210	E01016935
mm.Mus70Cal.001	E01007009
mm.domus.SC289	S01012363
mm.domus.WM004	E01032226
mm.wiki.151	E01003932
mm.misc.014	S01010685
mm.mald.019	W01001937
mm.domus.WM118	E01029670
mm.wiki.395	E01032011
mm.domus.EM085	E01026025
mm.wiki.152	E01002563
mm.wiki.470	S01007923
mm.ace.1200	E01025818
mm.domus.NW015	E01007031
mm.misc.114	E01018011
mm.aim.1076	E01027090
mm.domus.SE209	E01030390
mm.aim.0107	E01026298
mm.fcm.027	E01020365
mm.ace.1282	E01015290
mm.aim.0109	E01020236
mm.domus.NE011	E01020852
mm.ace.1139	E01008877
mm.mgs.354	S01012378
mm.hha.063	E01031904
mm.aim.0110	E01021708
mm.MDN.012	
mm.domus.YH040	E01010573
mm.domus.YH036	E01010825
mm.domus.SW014	E01032050
mm.aim.0112	E01033690
mm.ace.1235	E01017289
mm.aim82M.066	E01017289
mm.misc.172	E01020225
mm.misc.180	E01021907
mm.wiki.090	E01020291
mm.wiki.457	S01006793
mm.domus.SE200	E01033459
mm.wiki.179	E01003935
mm.domus.NW019	E01005929
mm.wiki.378	E01011712
mm.domus.WM086	E01029578
mm.domus.SC026	S01007010
mm.domus.NW001	E01019356
mm.musa.055	E01024406
mm.domus.SW152	E01020093
mm.aim.0117	E01023012
mm.domus.SC023	S01007235
mm.domus.WA018	W01000492
mm.wiki.108	E01021087
mm.wiki.219	E01024628
mm.musa.057	E01020507
mm.domus.SE023	E01000644
mm.domus.SE199	E01033064
mm.musa.058	E01024548
mm.fcm.030	S01012397
mm.domus.SE563	E01026873
mm.aim82NM.014	E01020431
mm.domus.WM095	E01028833
mm.mgs.389	S01010053
mm.wiki.098	E01012948
mm.domus.SW151	E01020503
mm.wiki.211	E01017291
mm.mgs.391	S01010674
mm.domus.SE201	E01021982
mm.domus.SE581	E01016952
mm.misc.045	E01016861
mm.domus.SE211	E01016969
mm.ace.1213	E01033329
mm.aim82M.036	E01016935
mm.domus.WM002	E01029807
mm.aim.0126	E01014910
mm.domus.SW009	E01033345
mm.domus.SW007	E01014542
mm.domus.SW143	E01014542
mm.misc.080	E01004027
mm.wiki.077	E01020175
mm.aim82NM.022	E01002520
mm.aim.0127	E01016347
mm.domus.NW188	E01025431
mm.aim.0129	E01019003
mm.wiki.049	E01018969
mm.domus.SE008	E01004714
mm.domus.SW043	E01033353
mm.wiki.109	E01016980
mm.domus.SC042	S01009726
mm.aim82M.007	E01018326
mm.domus.EM024	E01028336
mm.fcm.032	E01025219
mm.aim.0135	E01006994
mm.misc.161	E01026759
mm.domus.WM120	E01031205
mm.domus.SE073	E01000855
mm.ace.1129	E01004736
mm.ace.1098	E01023606
mm.Mus70Cal.015	E01004735
mm.aim.0140	E01003064
mm.aim.0141	E01030152
mm.wiki.078	E01015188
mm.domus.SW006	E01015186
mm.wiki.434	W01000626
mm.domus.WM044	E01009830
mm.aim82M.062	E01023199
mm.wiki.402	E01032353
mm.hha.119	E01027797
mm.ace.1085	E01014001
mm.domus.SC043	S01011174
mm.misc.150	S01011170
mm.domus.YH153	E01007587
mm.domus.WM119	E01032157
mm.wiki.417	95FF11W1
mm.domus.YH101	E01010856
mm.misc.165	95PP05W1
mm.misc.060	
mm.domus.SE205	E01030347
mm.wiki.238	E01012751
mm.Mus70Cal.007	E01001527
mm.wiki.476	S01010769
mm.domus.WM130	E01028841
mm.ace.1110	E01019319
mm.hha.018	E01028503
mm.domus.SC048	S01007526
mm.domus.SC234	S01007762
mm.domus.SC008	S01012576
mm.hha.143	E01025320
mm.mgs.308	S01013479
mm.ace.042	E01002095
mm.domus.SE601	E01004030
mm.wiki.243	E01025810
mm.domus.SW229	E01029157
mm.misc.050	E01029160
mm.aim.0147	W01001448
mm.domus.SC051	S01009621
mm.wiki.484	S01011079
mm.wiki.153	E01004736
mm.domus.SE464	E01017645
mm.aim82M.054	E01017645
mm.domus.SE202	E01017703
mm.domus.SW234	E01020315
mm.mald.020	W01000259
mm.aim.0150	E01021084
mm.domus.SE204	E01032961
mm.domus.SE216	E01024124
mm.aim82NM.024	E01014084
mm.misc.198	E01021387
mm.domus.SE440	E01030230
