project.id	LAD2011_GSS
mm.domus.SC077	S12000024
mm.domus.SC075	S12000017
mm.aim.0204	S12000035
mm.aim82NM.057	S12000017
mm.domus.SC078	S12000017
mm.domus.SE553	E07000209
mm.aim82NM.053	E07000047
mm.domus.SE175	E07000204
mm.domus.YH166	E08000036
mm.ace.1234	E06000046
mm.domus.SE516	E07000004
mm.ace.1288	E07000193
mm.wiki.188	E08000003
mm.aim.0207	E07000080
mm.ace.1099	E06000024
mm.domus.NE018	E06000002
mm.domus.NE019	E06000002
mm.domus.NE049	E06000003
mm.domus.YH038	E08000032
mm.wiki.345	E07000202
mm.domus.YH055	E08000018
mm.fcm.056	E09000028
mm.ace.1149	E09000011
mm.domus.NW042	E07000124
mm.domus.WM023	E06000051
mm.domus.SW208	E07000051
mm.misc.131	W06000023
mm.misc.004	E09000012
mm.musa.090	E06000051
mm.domus.SC079	S12000039
mm.mgs.302	S12000038
mm.domus.WM125	E06000020
mm.domus.WM124	E06000020
mm.misc.079	S12000010
mm.domus.SW073	E06000030
mm.aim.0211	E07000043
mm.domus.SC294	S12000036
mm.domus.SE183	E07000181
mm.aim.0213	E07000067
mm.fcm.059	S12000017
mm.domus.SE071	E07000071
mm.domus.SW097	E07000042
mm.domus.SC036	S12000026
mm.wiki.142	E07000080
mm.domus.WM022	E06000051
mm.domus.NI038	N09000004
mm.domus.SW209	E07000188
mm.domus.SW236	E07000044
mm.domus.SC224	S12000046
mm.aim.0215	E07000148
mm.domus.NW130	E07000122
mm.Mus70Cal.004	E07000122
mm.domus.YH050	E08000034
mm.aim.0217	E07000067
mm.aim.0218	E07000067
mm.aim.0219	E07000105
mm.domus.YH051	E08000032
mm.wiki.079	E07000040
mm.domus.SC143	S12000044
mm.domus.SW026	E07000043
mm.aim.0222	E07000181
mm.ace.1178	E07000074
mm.fcm.062	S12000017
mm.mgs.287	S12000026
mm.domus.SE471	E09000020
mm.misc.173	E07000044
mm.domus.WM123	E07000221
mm.aim.0228	S12000013
mm.domus.NW033	E06000049
mm.domus.SW092	E07000041
mm.ace.1291	E06000052
mm.wiki.438	W06000003
mm.mald.037	W06000003
mm.domus.YH044	E08000016
mm.domus.NE068	E06000057
mm.aim.0231	E07000150
mm.hha.162	S12000029
mm.domus.SW179	E07000051
mm.domus.SW029	E07000079
mm.fcm.064	S12000026
mm.aim82NM.038	E06000052
mm.wiki.028	E06000052
mm.wiki.029	E06000052
mm.misc.047	E06000052
mm.domus.SW078	E06000052
mm.hha.188	W06000021
mm.domus.SW028	E06000052
mm.domus.SW104	E06000052
mm.domus.SC081	S12000023
mm.mald.038	W06000002
mm.hha.064	E06000054
mm.aim.0304	W06000004
mm.musa.092	E06000052
mm.domus.SW199	E06000052
mm.domus.SW200	E06000052
mm.musa.093	E06000046
mm.misc.094	E07000079
mm.domus.SW030	E07000079
mm.aim.0234	E07000079
mm.domus.NW048	E07000121
mm.hha.095	E07000151
mm.aim.1025	E07000225
mm.fcm.067	E07000148
mm.aim82NM.023	E07000189
mm.ace.1199	E07000079
mm.wiki.221	E07000113
mm.domus.SE383	E09000033
mm.domus.SC089	S12000019
mm.wiki.374	E08000026
mm.domus.WM088	E08000026
mm.aim.0236	E08000026
mm.aim82M.032	S12000029
mm.domus.WA029	W06000014
mm.domus.SE184	E06000046
mm.domus.SE240	E06000042
mm.musa.095	E07000108
mm.domus.SW032	E07000216
mm.domus.NE074	E06000057
mm.nimc.016	N09000002
mm.domus.SC090	S12000015
mm.musa.096	E07000114
mm.domus.SE252	E07000116
mm.wiki.257	E07000139
mm.domus.SC320	S12000029
mm.domus.SE454	E07000226
mm.wiki.080	E07000042
mm.musa.097	S12000006
mm.mgs.370	S12000006
mm.domus.NW186	
mm.hha.190	W06000009
mm.domus.EM081	E07000033
mm.wiki.022	E06000049
mm.domus.SW033	E07000189
mm.domus.SW034	E06000054
mm.ace.1091	E06000019
mm.wiki.398	E06000054
mm.musa.099	E09000006
mm.domus.SC092	S12000017
mm.domus.SE113	E07000147
mm.aim.0983	E07000035
mm.domus.SE245	E07000011
mm.aim.0244	E09000011
mm.domus.NW052	E08000012
mm.aim.0245	E07000211
mm.domus.SE013	E09000008
mm.domus.SE243	E09000006
mm.domus.SE242	E07000228
mm.fcm.072	E06000049
mm.musa.100	S12000017
mm.domus.SC044	S12000015
mm.fcm.073	E07000026
mm.domus.SC315	S12000044
mm.domus.NW032	E07000030
mm.domus.NW029	E07000028
mm.domus.SE014	E09000028
mm.aim.0249	S12000015
mm.domus.SE221	E07000085
mm.aim82M.068	E06000024
mm.domus.YH054	E08000017
mm.domus.WA031	W06000024
mm.domus.WA030	W06000016
mm.domus.EM025	E07000172
mm.fcm.074	E07000143
mm.domus.SC091	S12000006
mm.hha.136	E07000030
mm.domus.YH049	E07000166
mm.mgs.284	S12000021
mm.musa.101	S12000019
mm.misc.160	S12000020
mm.mgs.373	S12000036
mm.musa.102	N09000002
mm.aim82M.064	W06000023
mm.ace.1193	E09000004
mm.domus.WM129	E06000020
mm.domus.SE260	E07000107
mm.fcm.075	E07000047
mm.domus.SW186	E07000044
mm.aim.0254	E06000008
mm.wiki.207	E07000242
mm.domus.EM026	E07000151
mm.wiki.379	E08000034
mm.domus.SC093	S12000029
mm.wiki.066	E07000035
mm.wiki.030	E06000052
mm.domus.SW035	E07000045
mm.ace.1204	E07000098
mm.aim.0130	E06000007
mm.musa.109	E07000108
mm.domus.SE336	E07000108
mm.domus.SC097	S12000008
mm.domus.SW036	E07000080
mm.domus.SW037	E07000080
mm.hha.096	E07000152
mm.misc.013	E07000114
mm.wiki.458	S12000034
mm.domus.SC275	S12000013
mm.domus.WA015	W06000004
mm.mald.042	W06000004
mm.wiki.067	E07000032
mm.wiki.156	E09000030
mm.domus.SC095	S12000039
mm.domus.SW144	E06000023
mm.domus.EM034	E06000015
mm.fcm.078	E06000015
mm.domus.EM035	E06000015
mm.wiki.423	N09000005
mm.ace.1239	E07000153
mm.domus.SE015	E09000020
mm.mgs.362	S12000006
mm.aim.0358	E06000026
mm.domus.SW038	E07000044
mm.wiki.023	E06000050
mm.wiki.380	E08000034
mm.aim82NM.035	E08000034
mm.wiki.381	E08000034
mm.domus.YH012	E08000034
mm.misc.074	S12000010
mm.domus.SC096	S12000008
mm.musa.112	E07000114
mm.domus.SE259	E07000179
mm.ace.023	E06000014
mm.domus.SE468	E06000046
mm.mald.043	W06000010
mm.aim.1047	E07000047
mm.domus.SC098	S12000017
mm.aim.0262	E06000046
mm.ace.1115	E06000046
mm.fcm.083	E07000052
mm.fcm.082	E07000052
mm.aim82M.011	E07000037
mm.aim.0265	E07000146
mm.ace.327	E07000141
mm.domus.NE028	E08000021
mm.domus.SC181	S12000042
