project_id	OA2011_GSS
mm.domus.SE526	E00146662
mm.domus.SC258	S00130691
mm.domus.SE312	E00167384
mm.wiki.065	E00099173
mm.domus.SE253	E00091378
mm.aim82M.010	E00071912
mm.hha.053	E00112857
mm.wiki.195	E00114846
mm.wiki.326	E00148350
mm.domus.WM107	E00151808
mm.aim.0191	E00159346
mm.domus.SW242	E00112760
mm.domus.SE234	E00109617
mm.domus.SW021	E00112435
mm.aim82NM.033	E00168922
mm.hha.005	E00089563
mm.domus.WA003	W00008261
mm.domus.NE077	E00140005
mm.domus.SE235	E00156353
mm.ace.1287	E00089769
mm.domus.NW026	E00092440
mm.aim82NM.036	E00092384
mm.wiki.021	E00092441
mm.domus.EM033	E00173359
mm.domus.NE017	E00139939
mm.domus.NW034	E00175827
mm.aim82NM.034	E00139389
mm.musa.083	E00160583
mm.domus.SE420	E00124133
mm.hha.150	E00139304
mm.hha.109	E00150919
mm.domus.SE237	E00089602
mm.aim82NM.037	E00090264
mm.misc.051	E00171634
mm.ace.516	E00166435
mm.aim82NM.055	E00112732
mm.musa.084	E00146606
mm.domus.WA092	W00001931
mm.wiki.397	E00078809
mm.domus.SE473	E00012823
mm.wiki.356	E00156884
mm.domus.SE390	E00145417
mm.aim.0200	E00167709
mm.domus.SE305	E00152947
mm.misc.073	E00103203
mm.mgs.398	S00122707
mm.domus.SE075	E00001187
mm.wiki.310	E00146572
mm.domus.WM109	E00070589
mm.ace.1172	E00175226
mm.domus.WM045	E00151809
mm.aim82M.009	W00001120
mm.wiki.148	E00113177
mm.fcm.051	E00070254
mm.domus.EM046	E00173640
mm.domus.SC076	S00107624
mm.wiki.155	E00000021
mm.domus.SE153	E00134907
mm.domus.SC150	S00097189
mm.mgs.361	S00117846
mm.domus.SC077	S00126310
mm.domus.SC075	S00117702
mm.aim.0204	S00094040
mm.aim82NM.057	S00119325
mm.domus.SC078	S00119409
mm.domus.SE553	E00155283
mm.aim82NM.053	E00102942
mm.domus.SE175	E00153444
mm.domus.YH166	E00059904
mm.ace.1234	E00087410
mm.domus.SE516	E00089381
mm.ace.1288	E00150079
mm.wiki.188	E00025780
mm.aim.0207	E00113177
mm.ace.1099	E00074519
mm.domus.NE018	E00060873
mm.domus.NE019	E00060986
mm.domus.NE049	E00061001
mm.domus.YH038	E00054117
mm.wiki.345	E00152710
mm.domus.YH055	E00039076
mm.fcm.056	E00019779
mm.ace.1149	E00008149
mm.domus.NW042	E00128600
mm.domus.WM023	E00147399
mm.domus.SW208	E00103877
mm.misc.131	W00009792
mm.misc.004	E00008685
mm.musa.090	E00147705
mm.domus.SC079	S00096987
mm.mgs.302	S00128209
mm.domus.WM125	E00071451
mm.domus.WM124	E00071449
mm.misc.079	S00102352
mm.domus.SW073	E00078806
mm.aim.0211	E00101896
mm.domus.SC294	S00104851
mm.domus.SE183	E00146742
mm.aim.0213	E00108598
mm.fcm.059	S00118048
mm.domus.SE071	E00109958
mm.domus.SW097	E00101578
mm.domus.SC036	S00095493
mm.wiki.142	E00113058
mm.domus.WM022	E00147350
mm.domus.NI038	N00002082
mm.domus.SW209	E00148337
mm.domus.SW236	E00102062
mm.domus.SC224	S00116345
mm.aim.0215	E00136434
mm.domus.NW130	E00128051
mm.Mus70Cal.004	E00128005
mm.domus.YH050	E00056186
mm.aim.0217	E00108645
mm.aim.0218	E00108688
mm.aim.0219	E00121974
mm.domus.YH051	E00176106
mm.wiki.079	E00100717
mm.domus.SC143	S00123278
mm.domus.SW026	E00101796
mm.aim.0222	E00146702
mm.ace.1178	E00111203
mm.fcm.062	S00119309
mm.mgs.287	S00095263
mm.domus.SE471	E00014519
mm.misc.173	E00102156
mm.domus.WM123	E00159084
mm.aim.0228	S00135238
mm.domus.NW033	E00092857
mm.domus.SW092	E00171931
mm.ace.1291	E00095324
mm.wiki.438	W00000691
mm.mald.037	W00000639
mm.domus.YH044	E00037175
