GSS	combined_idx_dec	income	employment	education	health	crime	housing	services	country
E01000635	3	3	5	6	8	1	2	1	england
E01000636	5	5	6	6	8	4	3	2	england
E01000637	3	3	4	6	6	3	2	2	england
E01000638	3	3	4	5	5	2	1	1	england
E01000639	5	6	7	7	7	2	2	2	england
E01000640	3	3	4	4	5	2	1	1	england
E01000641	3	2	3	4	6	2	2	1	england
E01000642	3	3	4	6	4	3	1	2	england
E01000643	1	1	1	4	1	1	2	1	england
E01000644	3	3	4	6	6	3	2	2	england
E01000645	10	10	10	10	10	8	8	5	england
E01000646	8	7	8	10	8	6	6	5	england
E01000647	9	8	9	9	10	6	6	6	england
E01000648	9	8	9	9	9	7	6	6	england
E01000649	8	7	8	10	9	6	7	2	england
E01000650	7	7	8	10	9	4	8	2	england
E01000651	8	7	9	10	8	7	7	2	england
E01000652	10	9	9	9	10	5	9	7	england
E01000653	8	8	8	9	7	9	8	3	england
E01000654	8	9	9	5	9	5	8	5	england
E01000655	8	7	8	5	10	7	10	2	england
E01000656	9	9	9	6	9	4	8	8	england
E01000657	7	6	6	5	9	5	8	6	england
E01000658	9	7	8	7	9	7	9	6	england
E01000659	8	7	7	6	8	7	10	6	england
E01000661	1	1	1	3	1	2	5	1	england
E01000662	5	5	4	5	7	6	7	4	england
E01000663	5	4	4	6	7	6	8	3	england
E01000664	5	5	5	5	8	5	8	1	england
E01000665	7	6	6	7	9	8	7	3	england
E01000666	10	10	10	9	10	7	7	6	england
E01000667	9	10	10	9	10	7	7	3	england
E01000668	7	6	7	8	7	4	5	7	england
E01000669	8	7	7	8	8	7	6	7	england
E01000670	9	9	10	10	10	6	4	3	england
E01000671	8	6	8	10	9	6	5	3	england
E01000672	8	8	9	9	9	4	7	4	england
E01000673	8	7	8	9	9	5	8	3	england
E01000674	7	6	7	8	7	4	4	5	england
E01000675	7	7	6	10	9	5	4	3	england
E01000676	4	3	4	6	6	2	2	3	england
E01000677	6	7	9	9	9	2	3	3	england
E01000678	8	7	7	9	9	8	5	3	england
E01000679	8	7	7	8	8	6	6	7	england
E01000680	8	9	9	8	10	6	8	2	england
E01000681	10	10	10	9	10	9	9	7	england
E01000682	10	10	10	9	9	9	8	8	england
E01000683	7	6	6	8	8	8	6	3	england
E01000684	10	10	10	10	10	9	9	7	england
E01000685	7	5	6	5	8	4	9	7	england
E01000686	9	7	8	9	9	7	8	7	england
E01000687	9	8	8	9	10	8	6	8	england
E01000688	10	10	10	10	10	7	9	9	england
E01000689	3	3	5	3	5	2	5	1	england
E01000690	8	8	8	10	10	2	7	7	england
E01000691	6	5	6	7	7	7	7	6	england
E01000692	9	7	10	9	9	4	6	7	england
E01000693	7	8	10	9	10	2	5	2	england
E01000694	10	10	10	10	10	6	9	4	england
E01000695	8	9	9	10	10	2	7	5	england
E01000696	9	10	10	10	10	2	6	5	england
E01000697	10	10	10	10	10	8	8	5	england
E01000698	9	10	10	9	10	5	9	2	england
E01000699	4	4	5	6	7	2	3	4	england
E01000700	6	5	6	8	7	6	6	5	england
E01000701	7	6	6	8	8	5	4	6	england
E01000702	7	6	8	8	9	4	4	6	england
E01000703	7	8	8	10	9	3	2	5	england
E01000704	7	7	8	7	8	2	4	7	england
E01000705	5	4	5	9	7	2	4	4	england
E01000706	6	5	6	7	7	3	4	4	england
E01000707	10	10	10	10	10	8	6	10	england
E01000708	8	7	8	9	8	5	5	7	england
E01000709	6	6	7	8	6	5	5	3	england
E01000710	7	7	10	7	10	3	6	3	england
E01000711	7	7	7	8	8	5	5	3	england
